交易日期_TrdDt,CI005917,CI005918,CI005919,CI005920,CI005921
2010-01-04,4642.2,3344.03,4206.31,2900.74,2007.45
2010-01-05,4671.01,3387.87,4216.77,2948.49,2022.63
2010-01-06,4616.19,3390.14,4186.08,2945.08,2013.02
2010-01-07,4536.09,3324.79,4091.05,2880.89,1976.29
2010-01-08,4572.98,3321.91,4125.39,2913.11,1995.72
2010-01-11,4563.67,3328.54,4130.47,2967.55,2006.02
2010-01-12,4597.41,3394.23,4223.89,3028.46,2048.46
2010-01-13,4376.14,3306.56,4202.0,3020.97,2023.2
2010-01-14,4418.33,3366.62,4324.55,3097.64,2055.42
2010-01-15,4450.83,3385.81,4337.8,3110.28,2059.28
2010-01-18,4439.37,3418.25,4415.98,3148.98,2092.06
2010-01-19,4470.68,3419.22,4407.73,3137.48,2090.85
2010-01-20,4334.28,3296.68,4265.69,3007.1,2035.85
2010-01-21,4410.67,3274.93,4288.46,3016.76,2043.33
2010-01-22,4424.26,3185.36,4186.09,2934.84,2011.22
2010-01-25,4357.32,3147.95,4145.44,2900.6,1979.13
2010-01-26,4268.59,3037.04,4019.34,2805.4,1924.79
2010-01-27,4176.08,3007.94,3992.15,2791.07,1919.43
2010-01-28,4145.16,3033.17,4062.88,2830.58,1935.73
2010-01-29,4133.96,3031.83,4110.23,2856.12,1936.11
2010-02-01,4103.04,2953.27,4114.02,2800.57,1901.95
2010-02-02,4100.98,2953.12,4074.46,2779.51,1895.58
2010-02-03,4236.1,3036.55,4095.1,2805.88,1937.73
2010-02-04,4222.76,3025.18,4128.38,2833.87,1953.14
2010-02-05,4136.13,2952.99,4069.04,2775.78,1923.12
2010-02-08,4117.37,2960.29,4081.66,2773.89,1918.47
2010-02-09,4138.72,2974.19,4068.14,2782.56,1935.99
2010-02-10,4202.9,3016.51,4116.69,2834.09,1942.76
2010-02-11,4202.54,3025.61,4117.89,2825.61,1936.41
2010-02-12,4240.75,3066.93,4161.18,2854.9,1961.54
2010-02-22,4206.53,3059.47,4146.81,2860.63,1967.16
2010-02-23,4123.45,3057.34,4162.36,2889.42,1970.97
2010-02-24,4165.99,3117.2,4248.51,2953.81,2004.06
2010-02-25,4257.25,3159.7,4310.37,2988.5,2028.59
2010-02-26,4248.79,3151.64,4309.62,2992.42,2025.39
2010-03-01,4312.92,3196.13,4343.95,3024.29,2049.49
2010-03-02,4320.03,3173.39,4334.43,3036.36,2040.82
2010-03-03,4331.11,3210.06,4371.01,3085.59,2060.57
2010-03-04,4228.52,3115.09,4238.38,2972.9,2005.74
2010-03-05,4244.82,3125.8,4251.0,2975.19,2012.32
2010-03-08,4288.97,3162.46,4275.53,3003.17,2021.6
2010-03-09,4344.73,3174.57,4273.88,2996.7,2018.77
2010-03-10,4312.17,3144.5,4231.72,2961.85,2000.26
2010-03-11,4330.25,3129.66,4203.77,2943.55,1996.93
2010-03-12,4271.13,3086.66,4148.56,2902.46,1969.0
2010-03-15,4213.67,3039.44,4106.99,2876.15,1954.55
2010-03-16,4262.0,3053.58,4133.61,2895.41,1966.14
2010-03-17,4358.21,3126.32,4228.55,2977.05,2005.41
2010-03-18,4351.99,3128.09,4226.56,2984.59,2001.25
2010-03-19,4375.04,3165.12,4248.56,3014.67,2010.49
2010-03-22,4385.36,3177.38,4267.18,3043.41,2016.86
2010-03-23,4335.38,3157.7,4255.44,3025.08,2001.84
2010-03-24,4336.47,3159.94,4272.62,3038.39,2008.85
2010-03-25,4267.23,3119.66,4219.22,3009.94,1978.63
2010-03-26,4338.51,3158.03,4267.68,3044.28,2004.47
2010-03-29,4478.18,3212.26,4315.14,3063.66,2035.52
2010-03-30,4491.21,3226.88,4329.4,3087.24,2034.23
2010-03-31,4467.11,3215.13,4331.23,3099.82,2031.02
2010-04-01,4527.5,3267.67,4388.19,3142.69,2051.86
2010-04-02,4528.32,3304.76,4388.97,3144.52,2055.5
2010-04-06,4510.3,3323.51,4383.82,3155.29,2058.76
2010-04-07,4465.56,3327.31,4388.02,3176.24,2050.35
2010-04-08,4391.91,3297.91,4392.98,3183.03,2036.19
2010-04-09,4427.78,3334.0,4454.44,3250.21,2055.07
2010-04-12,4332.59,3338.54,4494.4,3308.5,2052.68
2010-04-13,4423.05,3328.65,4465.03,3246.64,2055.96
2010-04-14,4414.87,3360.86,4518.61,3279.81,2062.94
2010-04-15,4401.57,3348.61,4469.57,3228.69,2046.75
2010-04-16,4330.68,3323.56,4466.86,3232.18,2033.88
2010-04-19,4059.14,3158.21,4324.13,3107.6,1944.9
2010-04-20,4010.12,3174.16,4389.52,3175.32,1946.67
2010-04-21,4072.63,3254.46,4508.74,3270.15,1989.06
2010-04-22,3982.17,3244.95,4531.15,3294.81,1973.88
2010-04-23,3984.28,3225.23,4490.41,3261.95,1961.58
2010-04-26,3940.0,3215.23,4462.83,3279.45,1961.03
2010-04-27,3877.61,3125.41,4361.21,3205.97,1922.67
2010-04-28,3874.69,3113.15,4341.36,3174.48,1901.48
2010-04-29,3871.6,3042.66,4227.03,3062.25,1866.99
2010-04-30,3920.05,3011.32,4118.27,2977.63,1858.94
2010-05-04,3791.83,2996.01,4128.56,2980.96,1842.57
2010-05-05,3806.05,3037.88,4238.12,3062.43,1865.5
2010-05-06,3601.43,2914.62,4115.89,2979.68,1795.53
2010-05-07,3564.77,2840.9,4050.22,2923.12,1752.98
2010-05-10,3633.88,2823.5,4000.18,2843.62,1758.74
2010-05-11,3538.5,2770.01,3894.43,2767.68,1726.3
2010-05-12,3621.24,2734.5,3828.27,2697.2,1723.55
2010-05-13,3684.14,2810.82,3939.31,2780.28,1749.98
2010-05-14,3636.46,2804.43,3964.41,2809.73,1749.78
2010-05-17,3441.61,2635.1,3755.75,2639.87,1660.4
2010-05-18,3555.35,2672.23,3788.32,2665.15,1675.68
2010-05-19,3520.98,2674.61,3798.33,2686.72,1665.23
2010-05-20,3459.39,2639.65,3740.27,2636.24,1639.95
2010-05-21,3518.19,2689.12,3806.57,2687.97,1654.62
2010-05-24,3654.41,2801.65,3959.76,2805.05,1712.92
2010-05-25,3557.73,2762.78,3923.85,2795.31,1682.81
2010-05-26,3560.71,2766.61,3916.64,2802.46,1690.49
2010-05-27,3600.74,2820.93,3986.18,2871.03,1717.85
2010-05-28,3572.3,2821.96,4010.8,2882.34,1717.2
2010-05-31,3473.61,2729.95,3931.58,2787.54,1675.03
2010-06-01,3436.53,2689.7,3872.06,2747.15,1652.11
2010-06-02,3451.45,2721.98,3910.13,2778.91,1663.63
2010-06-03,3420.2,2699.91,3899.14,2769.39,1648.62
2010-06-04,3436.62,2706.17,3937.39,2795.49,1653.87
2010-06-07,3355.29,2669.53,3945.25,2801.05,1635.68
2010-06-08,3338.38,2689.38,3983.17,2827.72,1640.68
2010-06-09,3482.08,2756.13,4074.17,2882.87,1677.27
2010-06-10,3407.61,2745.16,4091.59,2899.73,1671.77
2010-06-11,3421.3,2755.43,4061.37,2881.29,1671.84
2010-06-17,3428.38,2732.42,3978.66,2827.26,1667.39
2010-06-18,3414.9,2649.65,3829.09,2696.29,1633.46
2010-06-21,3553.67,2725.07,3924.56,2758.24,1674.8
2010-06-22,3555.64,2736.64,3948.94,2768.44,1682.13
2010-06-23,3535.47,2703.31,3940.5,2762.62,1672.23
2010-06-24,3545.32,2701.12,3945.93,2766.32,1669.9
2010-06-25,3531.95,2664.68,3889.49,2716.73,1661.46
2010-06-28,3521.44,2630.41,3837.85,2661.54,1653.04
2010-06-29,3354.97,2492.26,3656.2,2509.18,1590.47
2010-06-30,3316.92,2438.79,3635.79,2476.66,1579.68
2010-07-01,3295.85,2398.47,3566.5,2434.08,1566.88
2010-07-02,3346.19,2388.74,3525.65,2395.62,1581.49
2010-07-05,3326.73,2367.62,3511.41,2364.56,1574.84
2010-07-06,3382.67,2427.76,3601.24,2438.03,1599.71
2010-07-07,3391.02,2455.97,3657.01,2473.6,1605.62
2010-07-08,3393.33,2448.12,3650.47,2457.86,1597.17
2010-07-09,3468.45,2530.3,3753.67,2529.32,1629.94
2010-07-12,3523.53,2559.46,3772.66,2553.4,1642.56
2010-07-13,3462.35,2520.73,3723.85,2518.22,1619.88
2010-07-14,3485.5,2543.71,3744.08,2540.2,1634.74
2010-07-15,3430.41,2485.48,3686.77,2477.4,1606.31
2010-07-16,3435.99,2500.84,3709.07,2481.95,1608.96
2010-07-19,3515.27,2572.84,3786.29,2541.5,1635.85
2010-07-20,3565.66,2648.75,3882.79,2626.04,1670.53
2010-07-21,3557.95,2656.63,3881.48,2637.45,1690.14
2010-07-22,3612.92,2691.52,3930.96,2675.6,1703.71
2010-07-23,3635.85,2694.94,3944.09,2684.1,1699.51
2010-07-26,3638.49,2727.22,3999.09,2719.37,1717.12
2010-07-27,3615.17,2714.05,4020.09,2709.4,1710.12
2010-07-28,3708.16,2779.85,4093.87,2768.44,1741.28
2010-07-29,3726.17,2805.47,4090.09,2789.95,1750.76
2010-07-30,3717.07,2799.39,4085.88,2792.45,1743.22
2010-08-02,3773.38,2848.39,4178.13,2842.29,1770.1
2010-08-03,3710.6,2802.48,4109.51,2788.34,1741.86
2010-08-04,3711.79,2825.89,4149.81,2823.18,1748.39
2010-08-05,3643.85,2816.34,4204.21,2827.28,1745.14
2010-08-06,3686.58,2874.28,4278.74,2889.51,1770.06
2010-08-09,3697.83,2912.9,4328.14,2931.68,1777.72
2010-08-10,3597.25,2811.18,4182.17,2834.85,1723.26
2010-08-11,3623.74,2829.98,4230.99,2864.48,1736.58
2010-08-12,3592.66,2787.37,4192.51,2828.19,1714.29
2010-08-13,3627.93,2842.81,4264.61,2878.15,1736.35
2010-08-16,3690.44,2916.07,4363.54,2951.94,1775.07
2010-08-17,3712.03,2940.04,4403.45,2977.9,1782.38
2010-08-18,3692.17,2945.53,4389.95,2980.46,1777.22
2010-08-19,3713.19,2968.83,4384.95,2979.7,1783.16
2010-08-20,3666.75,2902.4,4277.34,2901.13,1758.69
2010-08-23,3657.32,2908.99,4303.8,2928.76,1755.63
2010-08-24,3667.6,2932.67,4356.86,2962.81,1769.38
2010-08-25,3571.1,2861.52,4303.4,2897.17,1729.35
2010-08-26,3566.68,2876.5,4339.1,2915.83,1738.43
2010-08-27,3569.32,2886.84,4376.24,2937.66,1747.35
2010-08-30,3601.49,2956.61,4505.57,3035.9,1772.04
2010-08-31,3565.77,2967.93,4529.44,3072.83,1761.01
2010-09-01,3557.28,2943.21,4468.06,3027.71,1741.31
2010-09-02,3587.58,3001.09,4547.23,3090.88,1759.73
2010-09-03,3567.89,3012.76,4584.74,3130.56,1759.44
2010-09-06,3656.72,3042.22,4577.41,3121.21,1783.42
2010-09-07,3649.26,3066.36,4581.25,3144.89,1791.61
2010-09-08,3589.97,3094.9,4623.64,3190.21,1791.12
2010-09-09,3515.26,3037.31,4577.7,3165.89,1761.97
2010-09-10,3500.64,3053.16,4658.14,3194.71,1764.37
2010-09-13,3526.59,3097.33,4727.58,3266.05,1777.05
2010-09-14,3525.15,3102.17,4722.51,3295.95,1784.81
2010-09-15,3465.64,3043.03,4651.05,3234.88,1763.16
2010-09-16,3405.88,2976.18,4552.23,3162.91,1725.47
2010-09-17,3396.86,2976.01,4588.56,3160.03,1721.03
2010-09-20,3395.82,2948.42,4572.95,3105.67,1712.74
2010-09-21,3400.78,2949.57,4586.77,3086.57,1713.75
2010-09-27,3423.13,3023.29,4696.45,3186.6,1733.43
2010-09-28,3366.5,3007.89,4702.36,3183.6,1717.57
2010-09-29,3361.18,3001.87,4638.09,3137.95,1708.56
2010-09-30,3454.1,3052.73,4700.95,3191.79,1731.56
2010-10-08,3565.68,3175.55,4806.28,3273.96,1768.36
2010-10-11,3715.79,3253.88,4749.43,3275.8,1817.72
2010-10-12,3718.9,3339.44,4714.94,3300.42,1827.82
2010-10-13,3834.98,3350.56,4726.97,3313.82,1836.08
2010-10-14,3858.85,3333.06,4579.17,3242.4,1823.26
2010-10-15,4030.9,3391.11,4573.58,3274.7,1854.78
2010-10-18,4054.18,3323.7,4545.1,3205.83,1879.8
2010-10-19,4098.51,3429.65,4664.73,3324.8,1899.19
2010-10-20,4099.76,3456.94,4740.15,3339.78,1868.85
2010-10-21,4011.71,3482.35,4741.86,3371.09,1865.51
2010-10-22,3978.88,3511.83,4772.62,3419.52,1870.31
2010-10-25,4081.66,3628.46,4879.83,3538.37,1894.86
2010-10-26,4057.58,3627.44,4890.69,3568.09,1890.33
2010-10-27,4004.12,3565.24,4837.32,3532.72,1874.86
2010-10-28,4031.28,3553.97,4817.8,3552.99,1869.52
2010-10-29,3945.65,3572.47,4846.34,3631.94,1870.35
2010-11-01,3999.26,3710.76,4964.33,3752.73,1900.52
2010-11-02,3993.91,3702.25,4937.31,3715.6,1903.08
2010-11-03,4033.29,3602.64,4911.12,3621.32,1886.74
2010-11-04,4063.05,3681.68,5010.31,3751.67,1914.97
2010-11-05,4108.49,3737.25,5058.67,3809.35,1940.95
2010-11-08,4140.03,3789.41,5159.09,3863.77,1969.98
2010-11-09,4057.76,3798.1,5213.77,3883.14,1959.49
2010-11-10,3978.34,3789.74,5302.01,3903.62,1943.52
2010-11-11,4010.08,3784.39,5245.55,3873.71,1947.87
2010-11-12,3772.03,3533.02,4976.23,3627.66,1845.23
2010-11-15,3792.67,3554.44,5166.08,3729.85,1865.72
2010-11-16,3636.59,3392.64,5028.67,3586.41,1805.71
2010-11-17,3618.8,3291.63,4799.23,3455.13,1768.46
2010-11-18,3653.02,3350.86,4854.86,3521.26,1778.11
2010-11-19,3655.71,3410.53,4992.69,3653.07,1799.11
2010-11-22,3618.1,3429.13,5053.49,3725.31,1802.34
2010-11-23,3550.0,3356.72,5012.26,3659.06,1769.79
2010-11-24,3608.27,3451.12,5155.42,3757.35,1798.23
2010-11-25,3664.81,3495.65,5187.84,3769.02,1821.66
2010-11-26,3610.05,3479.22,5189.51,3738.57,1804.86
2010-11-29,3600.78,3486.52,5232.22,3727.86,1806.43
2010-11-30,3535.66,3420.98,5078.48,3644.03,1771.85
2010-12-01,3547.56,3419.26,5056.26,3640.45,1785.75
2010-12-02,3579.76,3440.31,5050.89,3657.63,1793.39
2010-12-03,3606.63,3426.09,5019.34,3629.44,1790.11
2010-12-06,3654.88,3406.65,4945.78,3566.53,1780.87
2010-12-07,3674.15,3454.38,5022.51,3630.17,1787.05
2010-12-08,3612.26,3439.54,5015.13,3626.33,1780.97
2010-12-09,3551.56,3379.32,4909.09,3570.4,1771.66
2010-12-10,3591.05,3422.88,4963.26,3640.77,1789.43
2010-12-13,3663.2,3548.39,5081.38,3761.26,1842.81
2010-12-14,3654.63,3575.93,5111.31,3807.35,1856.36
2010-12-15,3636.49,3559.58,5111.52,3784.23,1841.78
2010-12-16,3609.51,3545.91,5118.68,3780.42,1834.96
2010-12-17,3597.2,3555.39,5115.24,3788.69,1837.73
2010-12-20,3535.36,3513.38,5031.09,3760.98,1814.44
2010-12-21,3666.95,3569.95,5049.52,3792.88,1841.0
2010-12-22,3607.74,3551.35,4993.08,3766.99,1828.88
