date,total_length,number_of_article,EPU,EPU_change
2016-04-29,18266.0,37.0,183.795607509735,0.36266495808970944
2016-05-31,35445.0,58.0,206.174282784351,0.1217584880173519
2016-06-30,41191.0,49.0,100.933770400592,-0.5104444209166272
2016-07-29,52133.0,87.0,86.044901415212,-0.14751127324668611
2016-08-31,24936.0,36.0,101.23578107361,0.17654595924393024
2016-09-30,95296.0,157.0,62.5559045495396,-0.3820771284013278
2016-10-31,41765.0,79.0,84.0360505052202,0.34337519552083107
2016-11-30,66440.0,131.0,127.675272404703,0.5192916806195216
2016-12-30,26151.0,35.0,114.347358598695,-0.10438915504140378
2017-01-31,39660.0,45.0,137.488411594078,0.20237505508629305
2017-02-28,28550.0,30.0,133.773760879251,-0.02701791861407321
2017-03-31,111543.0,213.0,100.351749113504,-0.2498398157162891
2017-04-28,31715.0,40.0,84.1573657701919,-0.16137619410096438
2017-05-31,29634.0,59.0,85.5035311099426,0.01599581126893468
2017-06-30,80625.0,64.0,71.2952652109188,-0.1661716857138269
2017-07-31,17346.0,23.0,131.895558056319,0.8499904259577582
2017-08-31,21880.0,25.0,111.784251790211,-0.15247902630292165
2017-09-29,32148.0,38.0,58.2633772071237,-0.4787872506722288
2017-10-31,11486.0,15.0,55.2645878184825,-0.051469542831007575
2017-11-30,83245.0,73.0,80.037448999805,0.44825922275380736
2017-12-29,19863.0,32.0,68.0426795644768,-0.14986446451282343
2018-01-31,26904.0,33.0,74.1044268952905,0.08908742820849125
2018-02-28,14152.0,21.0,71.5435826077321,-0.034557237601700486
2018-03-30,48597.0,53.0,85.0511912723897,0.1888025196993386
2018-04-30,24142.0,38.0,115.864739119375,0.3622941358728311
2018-05-31,72303.0,84.0,104.453021448964,-0.09849172196084233
2018-06-29,27014.0,41.0,143.27493572449,0.3716686577084274
2018-07-31,83781.0,97.0,100.806649210138,-0.2964111363903609
2018-08-31,16469.0,23.0,83.0285432031538,-0.17635846589766702
2018-09-28,49198.0,76.0,82.7683414577729,-0.003133883064095677
2018-10-31,65448.0,84.0,119.016208227832,0.43794361626241085
2018-11-30,73284.0,79.0,128.171634818095,0.07692588031990422
2018-12-31,16287.0,25.0,96.8402289463402,-0.2444488276694079
2019-01-31,22521.0,28.0,45.4325615350163,-0.530850329152043
2019-02-28,11933.0,20.0,211.175887472397,3.6481175689298766
2019-03-29,97705.0,100.0,157.732506196278,-0.2530752062453372
2019-04-30,63457.0,89.0,104.142852109614,-0.33975022256971243
2019-05-31,28622.0,27.0,50.1451564031346,-0.5184964173023121
2019-06-28,14948.0,18.0,169.115302553921,2.372515207537562
2019-07-31,35595.0,32.0,74.59808742969,-0.5588921504846965
2019-08-30,11649.0,17.0,112.30506095288,0.5054683681901293
2019-09-30,29730.0,40.0,179.91202545567,0.6019939255556432
2019-10-31,25617.0,41.0,221.825587774351,0.23296698601733223
2019-11-29,55633.0,68.0,69.1840677327307,-0.6881150257421735
2019-12-31,27344.0,38.0,56.3597515553471,-0.18536516567551375
2020-01-31,26954.0,41.0,139.496141769615,1.4751021415100682
2020-02-28,26391.0,32.0,134.054383668964,-0.03901009756698759
2020-03-31,34077.0,43.0,91.3600350295912,-0.3184852853809159
2020-04-30,30184.0,37.0,92.2142968302958,0.009350497735994834
2020-05-29,69249.0,46.0,319.406382746409,2.4637403713463253
2020-06-30,25398.0,30.0,99.3396533324443,-0.6889866367782811
2020-07-31,27981.0,32.0,238.459807890352,1.4004493663002457
2020-08-31,25440.0,26.0,113.4126717955301,-0.5243950215388951
