date,total_length,number_of_article,EPU,EPU_change
2016-04-18,2474.0,2.0,153.233501889774,-0.14885259663491102
2016-04-19,975.0,2.0,131.329862654748,-0.14294288758591456
2016-04-20,1525.0,2.0,161.554818176548,0.23014533717482144
2016-04-21,480.0,1.0,137.119594759286,-0.1512503538616784
2016-04-22,0.0,4.0,135.164728302545,-0.014256652815907045
2016-04-25,5512.0,11.0,142.208185181671,0.052110169328793754
2016-04-26,3715.0,10.0,99.1966325128919,-0.3024548313715687
2016-04-27,3585.0,3.0,112.224045330603,0.13132918414360506
2016-04-28,0.0,0.0,80.2340371821064,-0.28505484768666656
2016-04-29,0.0,1.0,183.795607509735,1.2907436041461544
2016-05-02,571.0,0.0,65.549007324631,-0.6433592281515264
2016-05-03,757.0,1.0,126.509919445493,0.9300051153933346
2016-05-04,1971.0,2.0,216.903534282934,0.7145180017001531
2016-05-05,0.0,0.0,103.569363959147,-0.5225095602912182
2016-05-06,2076.0,6.0,106.778336255227,0.030983798426586828
2016-05-09,3802.0,2.0,98.641148160348,-0.076206357771197
2016-05-10,0.0,0.0,184.813636341449,0.8735957537824042
2016-05-11,1350.0,1.0,94.0598870908039,-0.49105548187458803
2016-05-12,1431.0,2.0,99.9410930763971,0.06252618589596626
2016-05-13,607.0,1.0,177.096831563505,0.7720121534805349
2016-05-16,1676.0,4.0,160.508532638074,-0.09366795994587063
2016-05-17,933.0,3.0,121.72389526388,-0.24163598493326421
2016-05-18,1265.0,1.0,105.355002472848,-0.13447559130067743
2016-05-19,2896.0,4.0,151.880905549851,0.44161076346605976
2016-05-20,1026.0,4.0,140.352888681542,-0.07590168643368556
2016-05-23,6362.0,10.0,127.792125708497,-0.08949415356562507
2016-05-24,2504.0,4.0,139.863595240624,0.094461763314454
2016-05-25,2538.0,6.0,79.0097137889799,-0.43509450294731755
2016-05-26,544.0,1.0,202.659652160198,1.5649966623276712
2016-05-27,0.0,0.0,161.08314100509,-0.2051543595971569
2016-05-30,1655.0,2.0,97.7758247522202,-0.39301019248730307
2016-05-31,1481.0,3.0,206.174282784351,1.1086427376790744
2016-06-01,3855.0,3.0,142.149411789371,-0.3105376195824924
2016-06-02,1587.0,2.0,108.217129015425,-0.23870856971413246
2016-06-03,0.0,0.0,139.876539295818,0.292554520420518
2016-06-06,0.0,0.0,106.465174014033,-0.23886325362343253
2016-06-07,962.0,1.0,166.626518514828,0.5650800372792819
2016-06-08,2017.0,2.0,113.208328997564,-0.32058636280341146
2016-06-09,0.0,0.0,95.1598692558337,-0.15942696002622447
2016-06-10,0.0,4.0,62.120537424513,-0.34719816336123477
2016-06-13,3626.0,3.0,151.541697134163,1.4394782050672355
2016-06-14,1240.0,2.0,146.528838860872,-0.0330790691149051
2016-06-15,1059.0,1.0,91.8027024509277,-0.3734837239917417
2016-06-16,0.0,0.0,168.314841914493,0.8334410362752032
2016-06-17,486.0,1.0,261.737263435599,0.5550456540758675
2016-06-20,253.0,4.0,159.552953039684,-0.39040795740976963
2016-06-21,1374.0,1.0,122.602374310748,-0.2315881845179366
2016-06-22,2473.0,2.0,135.655163467742,0.10646440764605747
2016-06-23,0.0,0.0,100.793380481607,-0.2569882494330924
2016-06-24,0.0,7.0,206.230737410629,1.04607422060085
2016-06-27,5557.0,10.0,309.381966124112,0.5001738829459603
2016-06-28,11719.0,4.0,180.575849715809,-0.4163336280455048
2016-06-29,4983.0,2.0,182.097932022318,0.008429046901368364
2016-06-30,0.0,0.0,100.933770400592,-0.44571709695076867
2016-07-01,906.0,1.0,160.325853414701,0.588426279711836
2016-07-04,1815.0,3.0,119.642409522105,-0.25375473154266426
2016-07-05,676.0,6.0,169.529585173896,0.4169689982929834
2016-07-06,2754.0,8.0,132.670473521942,-0.21741993655057645
2016-07-07,245.0,1.0,102.911680304465,-0.22430607525159152
2016-07-08,1217.0,2.0,135.33864954218,0.3150951295497224
2016-07-11,138.0,1.0,188.856494092743,0.3954365196608782
2016-07-12,2328.0,3.0,146.789247511026,-0.2227471540431052
2016-07-13,3826.0,9.0,195.172049687443,0.3296072634528817
2016-07-14,4359.0,15.0,100.675914443571,-0.484168380642629
2016-07-15,6509.0,21.0,102.743354461248,0.020535597109831105
2016-07-18,8934.0,1.0,199.685981488577,0.9435415802380982
2016-07-19,1822.0,2.0,187.314689065899,-0.061953735211931815
2016-07-20,1876.0,2.0,103.165121770476,-0.44924168902641914
2016-07-21,0.0,0.0,80.6920757252322,-0.2178356954324382
2016-07-22,5187.0,6.0,106.97068786757,0.32566533833904776
2016-07-25,1118.0,0.0,185.063173871206,0.730036307706226
2016-07-26,1752.0,1.0,114.719136143882,-0.38010824226044926
2016-07-27,3299.0,3.0,80.0252205276526,-0.30242483322674174
2016-07-28,1728.0,1.0,57.8211341407705,-0.2774636076036743
2016-07-29,1644.0,4.0,86.044901415212,0.48812199369400666
2016-08-01,1834.0,1.0,156.453456351503,0.8182768970416112
2016-08-02,0.0,0.0,162.362831052583,0.037770815927539836
