date,content
2016-04-15,2
2016-04-18,2
2016-04-19,2
2016-04-20,2
2016-04-21,1
2016-04-22,4
2016-04-25,11
2016-04-26,10
2016-04-27,3
2016-04-28,0
2016-04-29,1
2016-05-02,0
2016-05-03,1
2016-05-04,2
2016-05-05,0
2016-05-06,6
2016-05-09,2
2016-05-10,0
2016-05-11,1
2016-05-12,2
2016-05-13,1
2016-05-16,4
2016-05-17,3
2016-05-18,1
2016-05-19,4
2016-05-20,4
2016-05-23,10
2016-05-24,4
2016-05-25,6
2016-05-26,1
2016-05-27,0
2016-05-30,2
2016-05-31,3
2016-06-01,3
2016-06-02,2
2016-06-03,0
2016-06-06,0
2016-06-07,1
2016-06-08,2
2016-06-09,0
2016-06-10,4
2016-06-13,3
2016-06-14,2
2016-06-15,1
2016-06-16,0
2016-06-17,1
2016-06-20,4
2016-06-21,1
2016-06-22,2
2016-06-23,0
2016-06-24,7
2016-06-27,10
2016-06-28,4
2016-06-29,2
2016-06-30,0
2016-07-01,1
2016-07-04,3
2016-07-05,6
2016-07-06,8
2016-07-07,1
2016-07-08,2
2016-07-11,1
2016-07-12,3
2016-07-13,9
2016-07-14,15
2016-07-15,21
2016-07-18,1
2016-07-19,2
2016-07-20,2
2016-07-21,0
2016-07-22,6
2016-07-25,0
2016-07-26,1
2016-07-27,3
2016-07-28,1
2016-07-29,4
2016-08-01,1
2016-08-02,0
2016-08-03,0
2016-08-04,0
2016-08-05,0
2016-08-08,0
2016-08-09,0
2016-08-10,0
2016-08-11,0
2016-08-12,0
2016-08-15,0
2016-08-16,3
2016-08-17,2
2016-08-18,3
2016-08-19,0
2016-08-22,7
2016-08-23,4
2016-08-24,4
2016-08-25,3
2016-08-26,2
2016-08-29,0
2016-08-30,3
2016-08-31,1
2016-09-01,2
2016-09-02,6
2016-09-05,1
2016-09-06,8
2016-09-07,6
2016-09-08,8
2016-09-09,18
2016-09-12,2
2016-09-13,0
2016-09-14,6
2016-09-15,0
2016-09-16,6
2016-09-19,4
2016-09-20,14
2016-09-21,15
2016-09-22,17
2016-09-23,32
2016-09-26,4
2016-09-27,3
2016-09-28,1
2016-09-29,0
2016-09-30,5
2016-10-03,2
2016-10-04,1
2016-10-05,1
2016-10-06,1
2016-10-07,8
2016-10-10,16
2016-10-11,14
2016-10-12,12
2016-10-13,6
2016-10-14,6
2016-10-17,2
2016-10-18,1
2016-10-19,1
2016-10-20,0
2016-10-21,2
2016-10-24,0
2016-10-25,0
2016-10-26,0
2016-10-27,0
2016-10-28,2
2016-10-31,3
2016-11-01,4
2016-11-02,12
2016-11-03,16
2016-11-04,37
2016-11-07,6
2016-11-08,3
2016-11-09,1
2016-11-10,1
2016-11-11,2
2016-11-14,0
2016-11-15,1
2016-11-16,3
2016-11-17,1
2016-11-18,9
2016-11-21,17
2016-11-22,3
2016-11-23,4
2016-11-24,3
2016-11-25,2
2016-11-28,2
2016-11-29,2
2016-11-30,2
2016-12-01,0
2016-12-02,5
2016-12-05,1
2016-12-06,1
2016-12-07,1
2016-12-08,2
2016-12-09,1
2016-12-12,1
2016-12-13,1
2016-12-14,2
2016-12-15,1
2016-12-16,1
2016-12-19,1
2016-12-20,1
2016-12-21,2
2016-12-22,2
2016-12-23,4
2016-12-26,1
2016-12-27,2
2016-12-28,1
2016-12-29,2
2016-12-30,4
2017-01-02,2
2017-01-03,0
2017-01-04,2
2017-01-05,1
2017-01-06,1
2017-01-09,0
2017-01-10,0
2017-01-11,3
2017-01-12,0
2017-01-13,1
2017-01-16,2
2017-01-17,1
2017-01-18,4
2017-01-19,0
2017-01-20,1
2017-01-23,6
2017-01-24,9
2017-01-25,6
2017-01-26,2
2017-01-27,1
2017-01-30,1
2017-01-31,0
2017-02-01,0
2017-02-02,0
2017-02-03,6
2017-02-06,1
2017-02-07,1
