date,content
2016-04-17,2
2016-04-24,11
2016-05-01,25
2016-05-08,9
2016-05-15,6
2016-05-22,16
2016-05-29,21
2016-06-05,10
2016-06-12,7
2016-06-19,7
2016-06-26,14
2016-07-03,17
2016-07-10,20
2016-07-17,49
2016-07-24,11
2016-07-31,9
2016-08-07,1
2016-08-14,0
2016-08-21,8
2016-08-28,20
2016-09-04,12
2016-09-11,41
2016-09-18,14
2016-09-25,82
2016-10-02,13
2016-10-09,13
2016-10-16,54
2016-10-23,6
2016-10-30,2
2016-11-06,72
2016-11-13,13
2016-11-20,14
2016-11-27,29
2016-12-04,11
2016-12-11,6
2016-12-18,6
2016-12-25,10
2017-01-01,10
2017-01-08,6
2017-01-15,4
2017-01-22,8
2017-01-29,24
2017-02-05,7
2017-02-12,6
2017-02-19,2
2017-02-26,13
2017-03-05,39
2017-03-12,42
2017-03-19,40
2017-03-26,65
2017-04-02,31
2017-04-09,14
2017-04-16,12
2017-04-23,9
2017-04-30,5
2017-05-07,7
2017-05-14,20
2017-05-21,15
2017-05-28,11
2017-06-04,26
2017-06-11,7
2017-06-18,8
2017-06-25,10
2017-07-02,19
2017-07-09,3
2017-07-16,5
2017-07-23,6
2017-07-30,7
2017-08-06,4
2017-08-13,4
2017-08-20,7
2017-08-27,8
2017-09-03,6
2017-09-10,14
2017-09-17,11
2017-09-24,5
2017-10-01,8
2017-10-08,0
2017-10-15,4
2017-10-22,3
2017-10-29,4
2017-11-05,7
2017-11-12,9
2017-11-19,23
2017-11-26,15
2017-12-03,31
2017-12-10,8
2017-12-17,8
2017-12-24,4
2017-12-31,3
2018-01-07,6
2018-01-14,12
2018-01-21,5
2018-01-28,6
2018-02-04,7
2018-02-11,6
2018-02-18,9
2018-02-25,0
2018-03-04,6
2018-03-11,16
2018-03-18,9
2018-03-25,14
2018-04-01,9
2018-04-08,7
2018-04-15,18
2018-04-22,4
2018-04-29,8
2018-05-06,9
2018-05-13,49
2018-05-20,5
2018-05-27,16
2018-06-03,9
2018-06-10,10
2018-06-17,8
2018-06-24,7
2018-07-01,16
2018-07-08,40
2018-07-15,20
2018-07-22,14
2018-07-29,17
2018-08-05,4
2018-08-12,1
2018-08-19,3
2018-08-26,11
2018-09-02,17
2018-09-09,12
2018-09-16,16
2018-09-23,26
2018-09-30,20
2018-10-07,4
2018-10-14,31
2018-10-21,28
2018-10-28,12
2018-11-04,11
2018-11-11,16
2018-11-18,34
2018-11-25,6
2018-12-02,14
2018-12-09,12
2018-12-16,5
2018-12-23,4
2018-12-30,3
2019-01-06,9
2019-01-13,6
2019-01-20,5
2019-01-27,4
2019-02-03,15
2019-02-10,0
2019-02-17,4
2019-02-24,5
2019-03-03,1
2019-03-10,51
2019-03-17,7
2019-03-24,11
2019-03-31,33
2019-04-07,10
2019-04-14,49
2019-04-21,4
2019-04-28,18
2019-05-05,6
2019-05-12,7
2019-05-19,7
2019-05-26,7
2019-06-02,5
2019-06-09,2
2019-06-16,7
2019-06-23,4
2019-06-30,5
2019-07-07,14
2019-07-14,3
2019-07-21,5
2019-07-28,7
2019-08-04,3
2019-08-11,1
2019-08-18,2
2019-08-25,10
2019-09-01,4
2019-09-08,12
2019-09-15,9
2019-09-22,10
2019-09-29,7
2019-10-06,3
2019-10-13,12
2019-10-20,15
2019-10-27,10
2019-11-03,20
2019-11-10,21
2019-11-17,10
2019-11-24,16
2019-12-01,5
2019-12-08,6
2019-12-15,7
2019-12-22,6
2019-12-29,15
2020-01-05,8
2020-01-12,9
2020-01-19,8
2020-01-26,9
2020-02-02,13
2020-02-09,7
2020-02-16,7
2020-02-23,7
2020-03-01,9
2020-03-08,8
2020-03-15,11
2020-03-22,10
2020-03-29,9
2020-04-05,11
2020-04-12,7
2020-04-19,10
2020-04-26,7
2020-05-03,6
2020-05-10,4
2020-05-17,5
2020-05-24,30
2020-05-31,8
2020-06-07,10
2020-06-14,5
2020-06-21,6
2020-06-28,6
2020-07-05,7
2020-07-12,8
2020-07-19,6
2020-07-26,7
2020-08-02,6
2020-08-09,1
2020-08-16,1
2020-08-23,17
2020-08-30,7
2020-09-06,3
2020-09-13,7
2020-09-20,5
