date,content
2016-04-18,2474
2016-04-19,975
2016-04-20,1525
2016-04-21,480
2016-04-22,0
2016-04-25,5512
2016-04-26,3715
2016-04-27,3585
2016-04-28,0
2016-04-29,0
2016-05-02,571
2016-05-03,757
2016-05-04,1971
2016-05-05,0
2016-05-06,2076
2016-05-09,3802
2016-05-10,0
2016-05-11,1350
2016-05-12,1431
2016-05-13,607
2016-05-16,1676
2016-05-17,933
2016-05-18,1265
2016-05-19,2896
2016-05-20,1026
2016-05-23,6362
2016-05-24,2504
2016-05-25,2538
2016-05-26,544
2016-05-27,0
2016-05-30,1655
2016-05-31,1481
2016-06-01,3855
2016-06-02,1587
2016-06-03,0
2016-06-06,0
2016-06-07,962
2016-06-08,2017
2016-06-09,0
2016-06-10,0
2016-06-13,3626
2016-06-14,1240
2016-06-15,1059
2016-06-16,0
2016-06-17,486
2016-06-20,253
2016-06-21,1374
2016-06-22,2473
2016-06-23,0
2016-06-24,0
2016-06-27,5557
2016-06-28,11719
2016-06-29,4983
2016-06-30,0
2016-07-01,906
2016-07-04,1815
2016-07-05,676
2016-07-06,2754
2016-07-07,245
2016-07-08,1217
2016-07-11,138
2016-07-12,2328
2016-07-13,3826
2016-07-14,4359
2016-07-15,6509
2016-07-18,8934
2016-07-19,1822
2016-07-20,1876
2016-07-21,0
2016-07-22,5187
2016-07-25,1118
2016-07-26,1752
2016-07-27,3299
2016-07-28,1728
2016-07-29,1644
2016-08-01,1834
2016-08-02,0
2016-08-03,0
2016-08-04,0
2016-08-05,0
2016-08-08,0
2016-08-09,0
2016-08-10,0
2016-08-11,0
2016-08-12,0
2016-08-15,0
2016-08-16,2845
2016-08-17,1413
2016-08-18,2051
2016-08-19,0
2016-08-22,935
2016-08-23,424
2016-08-24,5975
2016-08-25,4215
2016-08-26,383
2016-08-29,2213
2016-08-30,2526
2016-08-31,122
2016-09-01,1939
2016-09-02,543
2016-09-05,6542
2016-09-06,3729
2016-09-07,1417
2016-09-08,11622
2016-09-09,6723
2016-09-12,2742
2016-09-13,0
2016-09-14,4945
2016-09-15,0
2016-09-16,1290
2016-09-19,3112
2016-09-20,9384
2016-09-21,3722
2016-09-22,13504
2016-09-23,5843
2016-09-26,12757
2016-09-27,1754
2016-09-28,269
2016-09-29,0
2016-09-30,3459
2016-10-03,79
2016-10-04,3202
2016-10-05,1795
2016-10-06,2124
2016-10-07,79
2016-10-10,9160
2016-10-11,3174
2016-10-12,7622
2016-10-13,2026
2016-10-14,3203
2016-10-17,2122
2016-10-18,1336
2016-10-19,534
2016-10-20,0
2016-10-21,386
2016-10-24,867
2016-10-25,0
2016-10-26,0
2016-10-27,0
2016-10-28,1401
2016-10-31,2655
2016-11-01,1474
2016-11-02,3793
2016-11-03,5788
2016-11-04,5470
2016-11-07,16942
2016-11-08,1690
2016-11-09,99
2016-11-10,0
2016-11-11,0
2016-11-14,115
2016-11-15,1369
2016-11-16,3305
2016-11-17,1205
2016-11-18,1984
2016-11-21,7830
2016-11-22,1534
2016-11-23,5121
2016-11-24,2137
2016-11-25,868
2016-11-28,2523
2016-11-29,1078
2016-11-30,2115
2016-12-01,0
2016-12-02,2026
2016-12-05,3095
2016-12-06,377
2016-12-07,1325
2016-12-08,904
2016-12-09,0
2016-12-12,691
2016-12-13,558
2016-12-14,298
2016-12-15,202
2016-12-16,193
2016-12-19,885
2016-12-20,529
2016-12-21,2285
2016-12-22,1097
2016-12-23,2803
2016-12-26,2769
2016-12-27,1266
2016-12-28,685
2016-12-29,2706
2016-12-30,1457
2017-01-02,8039
2017-01-03,0
2017-01-04,3319
2017-01-05,864
2017-01-06,0
2017-01-09,1479
2017-01-10,0
2017-01-11,2404
2017-01-12,0
2017-01-13,617
2017-01-16,1715
2017-01-17,951
2017-01-18,4577
2017-01-19,0
2017-01-20,0
2017-01-23,3388
2017-01-24,1976
2017-01-25,2072
2017-01-26,5659
2017-01-27,0
2017-01-30,2600
2017-01-31,0
2017-02-01,0
2017-02-02,0
2017-02-03,3490
2017-02-06,3142
2017-02-07,283
2017-02-08,3643
2017-02-09,0
2017-02-10,0
2017-02-13,572
2017-02-14,2294
2017-02-15,0
2017-02-16,0
2017-02-17,224
2017-02-20,1045
2017-02-21,2807
2017-02-22,0
2017-02-23,1165
2017-02-24,2728
2017-02-27,5865
2017-02-28,1292
2017-03-01,1377
2017-03-02,0
2017-03-03,0
2017-03-06,26228
2017-03-07,841
2017-03-08,967
2017-03-09,2839
2017-03-10,505
2017-03-13,1556
2017-03-14,0
2017-03-15,10570
2017-03-16,7777
2017-03-17,1808
2017-03-20,3643
2017-03-21,4843
2017-03-22,8964
2017-03-23,3965
2017-03-24,4887
2017-03-27,17073
2017-03-28,2575
2017-03-29,8551
2017-03-30,1372
2017-03-31,1202
2017-04-03,1473
2017-04-04,201
2017-04-05,2447
2017-04-06,808
2017-04-07,1296
2017-04-10,4567
2017-04-11,512
2017-04-12,4793
2017-04-13,2293
2017-04-14,0
2017-04-17,0
2017-04-18,4402
2017-04-19,2264
2017-04-20,0
2017-04-21,0
2017-04-24,2321
2017-04-25,0
2017-04-26,1548
2017-04-27,1295
2017-04-28,1495
2017-05-01,711
2017-05-02,614
2017-05-03,1941
2017-05-04,990
2017-05-05,699
2017-05-08,392
2017-05-09,860
2017-05-10,2240
2017-05-11,181
2017-05-12,1348
2017-05-15,7249
2017-05-16,1745
2017-05-17,1961
2017-05-18,1062
2017-05-19,1604
2017-05-22,789
2017-05-23,72
2017-05-24,3130
2017-05-25,0
2017-05-26,885
2017-05-29,230
2017-05-30,0
2017-05-31,931
2017-06-01,1586
2017-06-02,8408
2017-06-05,9985
2017-06-06,1052
2017-06-07,1744
2017-06-08,817
2017-06-09,678
2017-06-12,2822
2017-06-13,1455
2017-06-14,1820
2017-06-15,903
2017-06-16,0
2017-06-19,1532
2017-06-20,707
2017-06-21,2848
2017-06-22,672
2017-06-23,0
2017-06-26,5351
2017-06-27,9321
2017-06-28,8791
2017-06-29,19316
2017-06-30,817
2017-07-03,189
2017-07-04,0
2017-07-05,2375
2017-07-06,961
2017-07-07,0
2017-07-10,814
2017-07-11,0
2017-07-12,239
2017-07-13,1267
2017-07-14,760
2017-07-17,0
2017-07-18,0
2017-07-19,1788
2017-07-20,2113
2017-07-21,768
2017-07-24,1315
2017-07-25,0
2017-07-26,337
2017-07-27,529
2017-07-28,1031
2017-07-31,2860
2017-08-01,561
2017-08-02,0
2017-08-03,0
2017-08-04,1126
2017-08-07,1495
2017-08-08,1245
2017-08-09,0
