date,content
2016-04-17,1461
2016-04-24,7653
2016-05-01,9723
2016-05-08,4804
2016-05-15,7190
2016-05-22,11440
2016-05-29,8304
2016-06-05,8578
2016-06-12,3763
2016-06-19,5627
2016-06-26,6469
2016-07-03,20796
2016-07-10,6707
2016-07-17,25928
2016-07-24,10169
2016-07-31,9950
2016-08-07,307
2016-08-14,0
2016-08-21,6309
2016-08-28,14145
2016-09-04,9943
2016-09-11,27177
2016-09-18,8252
2016-09-25,45302
2016-10-02,7270
2016-10-09,12141
2016-10-16,22279
2016-10-23,3289
2016-10-30,1401
2016-11-06,31353
2016-11-13,6673
2016-11-20,11790
2016-11-27,13839
2016-12-04,9470
2016-12-11,4143
2016-12-18,1496
2016-12-25,8873
2017-01-01,12405
2017-01-08,8905
2017-01-15,3021
2017-01-22,8422
2017-01-29,13985
2017-02-05,6989
2017-02-12,4672
2017-02-19,2518
2017-02-26,11641
2017-03-05,28739
2017-03-12,7279
2017-03-19,23493
2017-03-26,35976
2017-04-02,19918
2017-04-09,8721
2017-04-16,9068
2017-04-23,8987
2017-04-30,5049
2017-05-07,4244
2017-05-14,11265
2017-05-21,8025
2017-05-28,4458
2017-06-04,20910
2017-06-11,5451
2017-06-18,6056
2017-06-25,10894
2017-07-02,38434
2017-07-09,3336
2017-07-16,3080
2017-07-23,5770
2017-07-30,3502
2017-08-06,4446
2017-08-13,4046
2017-08-20,7012
2017-08-27,5005
2017-09-03,5090
2017-09-10,14934
2017-09-17,6206
2017-09-24,3751
2017-10-01,8045
2017-10-08,0
2017-10-15,3804
2017-10-22,2182
2017-10-29,2089
2017-11-05,5086
2017-11-12,19913
2017-11-19,23329
2017-11-26,11637
2017-12-03,31567
2017-12-10,4362
2017-12-17,5068
2017-12-24,2237
2017-12-31,817
2018-01-07,3641
2018-01-14,12386
2018-01-21,2720
2018-01-28,5972
2018-02-04,8604
2018-02-11,4936
2018-02-18,1955
2018-02-25,0
2018-03-04,2178
2018-03-11,19795
2018-03-18,1624
2018-03-25,18339
2018-04-01,6968
2018-04-08,4287
2018-04-15,10234
2018-04-22,2930
2018-04-29,5987
2018-05-06,13266
2018-05-13,43856
2018-05-20,2997
2018-05-27,8034
2018-06-03,5941
2018-06-10,6459
2018-06-17,6038
2018-06-24,4728
2018-07-01,11754
2018-07-08,34314
2018-07-15,25909
2018-07-22,12739
2018-07-29,5458
2018-08-05,2973
2018-08-12,561
2018-08-19,1839
2018-08-26,7807
2018-09-02,9172
2018-09-09,5703
2018-09-16,12805
2018-09-23,21056
2018-09-30,11082
2018-10-07,2052
2018-10-14,21104
2018-10-21,27490
2018-10-28,9601
2018-11-04,5796
2018-11-11,14141
2018-11-18,43024
2018-11-25,3576
2018-12-02,7613
2018-12-09,5067
2018-12-16,3499
2018-12-23,3884
2018-12-30,3150
2019-01-06,4636
2019-01-13,4902
2019-01-20,5957
2019-01-27,4661
2019-02-03,6763
2019-02-10,0
2019-02-17,3616
2019-02-24,3919
2019-03-03,793
2019-03-10,26357
2019-03-17,41735
2019-03-24,6343
2019-03-31,26255
2019-04-07,6140
2019-04-14,39553
2019-04-21,3168
2019-04-28,8420
2019-05-05,3115
2019-05-12,14024
2019-05-19,4761
2019-05-26,6313
2019-06-02,2807
2019-06-09,2184
2019-06-16,5563
2019-06-23,3460
2019-06-30,3741
2019-07-07,17832
2019-07-14,2425
2019-07-21,3483
2019-07-28,9539
2019-08-04,2316
2019-08-11,0
2019-08-18,948
2019-08-25,7277
2019-09-01,3424
2019-09-08,9100
2019-09-15,5443
2019-09-22,9094
2019-09-29,4738
2019-10-06,1355
2019-10-13,9101
2019-10-20,8069
2019-10-27,5979
2019-11-03,16469
2019-11-10,22601
2019-11-17,4429
2019-11-24,10922
2019-12-01,4082
2019-12-08,4611
2019-12-15,3574
2019-12-22,3239
2019-12-29,13019
2020-01-05,5533
2020-01-12,5497
2020-01-19,6949
2020-01-26,6388
2020-02-02,7318
2020-02-09,4221
2020-02-16,5801
2020-02-23,6606
2020-03-01,9358
2020-03-08,6024
2020-03-15,8266
2020-03-22,8171
2020-03-29,7085
2020-04-05,7403
2020-04-12,5929
2020-04-19,8152
2020-04-26,6234
2020-05-03,5170
2020-05-10,4504
2020-05-17,5660
2020-05-24,27728
2020-05-31,33474
2020-06-07,5605
2020-06-14,3906
2020-06-21,6163
2020-06-28,5156
2020-07-05,6993
2020-07-12,6030
2020-07-19,6678
2020-07-26,6292
2020-08-02,4439
2020-08-09,247
2020-08-16,611
2020-08-23,10021
2020-08-30,14561
2020-09-06,1813
2020-09-13,7322
2020-09-20,4637
