交易日期_TrdDt,000001,399106,CI005909,CI005910,CI005911,CI005912,CI005913,CI005914,CI005915,CI005916
2010-01-04,3243.76,1198.76,4585.33,3407.21,3182.64,4217.67,2270.96,1864.21,4212.36,2571.01
2010-01-05,3282.18,1205.49,4611.93,3496.27,3217.27,4211.68,2284.83,1889.55,4237.96,2629.87
2010-01-06,3254.22,1203.24,4558.98,3483.7,3229.73,4198.79,2285.11,1880.63,4214.6,2612.91
2010-01-07,3192.78,1179.99,4480.91,3418.81,3170.15,4100.17,2245.29,1846.57,4121.05,2547.43
2010-01-08,3196.0,1187.86,4518.07,3382.92,3179.08,4114.76,2263.75,1866.9,4154.14,2590.89
2010-01-11,3212.75,1189.95,4507.81,3390.62,3186.65,4100.9,2272.27,1887.09,4179.28,2658.47
2010-01-12,3273.97,1213.1,4541.76,3442.27,3246.89,4197.32,2305.09,1948.93,4273.94,2716.81
2010-01-13,3172.66,1193.73,4324.64,3295.94,3176.24,4125.47,2266.52,1922.88,4265.66,2739.37
2010-01-14,3215.55,1219.11,4366.53,3330.5,3230.16,4240.64,2300.15,1970.42,4383.78,2813.14
2010-01-15,3224.15,1226.72,4399.58,3330.19,3244.14,4293.36,2313.53,1970.34,4397.68,2809.38
2010-01-18,3237.1,1240.98,4389.6,3330.89,3286.06,4334.28,2333.72,2034.35,4481.4,2841.64
2010-01-19,3246.87,1237.21,4420.48,3359.34,3285.78,4319.85,2330.53,2037.84,4473.57,2810.51
2010-01-20,3151.85,1191.75,4285.46,3234.54,3164.27,4183.84,2266.66,1981.11,4329.0,2662.1
2010-01-21,3158.86,1194.21,4360.73,3178.92,3153.89,4180.1,2273.87,1985.43,4355.01,2670.44
2010-01-22,3128.59,1161.89,4370.88,3090.83,3060.54,4067.59,2235.34,1948.87,4256.88,2598.88
2010-01-25,3094.41,1148.49,4305.28,3072.66,3018.74,4014.84,2211.69,1903.32,4216.28,2571.18
2010-01-26,3019.39,1112.41,4216.28,2961.48,2915.38,3892.85,2142.08,1843.06,4081.15,2493.46
2010-01-27,2986.61,1103.64,4126.48,2942.89,2885.17,3860.86,2130.95,1832.43,4049.17,2491.51
2010-01-28,2994.14,1113.73,4097.35,2952.26,2905.66,3909.33,2148.56,1858.17,4124.04,2532.04
2010-01-29,2989.29,1120.45,4086.54,2935.35,2920.18,3910.47,2152.06,1852.22,4183.22,2552.96
2010-02-01,2941.36,1102.69,4056.82,2830.59,2853.69,3844.39,2122.63,1816.96,4183.99,2486.98
2010-02-02,2934.71,1096.29,4054.09,2859.15,2843.78,3831.46,2114.22,1809.3,4137.38,2467.33
2010-02-03,3003.84,1116.6,4185.86,2994.4,2902.24,3901.72,2159.62,1858.99,4146.14,2485.86
2010-02-04,2995.31,1119.77,4173.45,2951.2,2904.88,3894.03,2180.0,1879.76,4196.39,2502.29
2010-02-05,2939.4,1097.12,4088.01,2852.6,2832.3,3821.87,2150.63,1846.5,4137.36,2453.79
2010-02-08,2935.17,1099.15,4069.11,2868.63,2833.24,3814.01,2155.15,1851.79,4155.04,2442.12
2010-02-09,2948.84,1100.41,4089.01,2900.29,2850.84,3813.91,2164.86,1869.76,4143.42,2442.34
2010-02-10,2982.5,1117.4,4152.47,2937.43,2891.91,3869.72,2178.49,1878.52,4196.66,2494.96
