交易日期_TrdDt,816000G,816000V,818100G,818100V
2010-01-04,2845.29,2748.29,2851.24,2442.18
2010-01-05,2866.59,2772.35,2869.82,2462.62
2010-01-06,2858.4,2745.58,2859.51,2432.71
2010-01-07,2808.32,2685.58,2812.98,2377.99
2010-01-08,2821.52,2688.81,2823.64,2376.09
2010-01-11,2819.78,2697.0,2820.16,2381.76
2010-01-12,2857.51,2743.36,2848.62,2417.49
2010-01-13,2771.88,2654.9,2741.34,2322.53
2010-01-14,2816.35,2692.39,2776.28,2346.06
2010-01-15,2832.34,2700.16,2786.74,2351.42
2010-01-18,2846.85,2714.02,2787.27,2352.42
2010-01-19,2849.07,2721.65,2793.76,2360.1
2010-01-20,2757.08,2633.69,2707.05,2286.95
2010-01-21,2763.89,2652.91,2711.57,2307.85
2010-01-22,2704.43,2637.93,2663.64,2312.49
2010-01-25,2682.9,2595.9,2649.05,2276.04
2010-01-26,2604.7,2540.98,2582.15,2239.13
2010-01-27,2576.66,2500.42,2546.19,2195.97
2010-01-28,2596.8,2496.99,2555.93,2180.26
2010-01-29,2601.19,2492.1,2554.06,2172.03
2010-02-01,2556.27,2462.24,2504.55,2149.12
2010-02-02,2545.5,2459.69,2497.44,2151.67
2010-02-03,2608.48,2526.66,2571.19,2216.29
2010-02-04,2602.68,2516.29,2556.94,2200.1
2010-02-05,2602.68,2464.8,2504.75,2155.49
2010-02-08,2551.37,2459.49,2509.33,2147.22
2010-02-09,2560.19,2476.45,2521.52,2163.42
2010-02-10,2600.33,2509.67,2562.72,2193.8
2010-02-11,2603.87,2514.27,2566.82,2200.15
2010-02-12,2626.64,2541.14,2585.28,2222.09
2010-02-22,2616.18,2524.01,2570.26,2203.77
2010-02-23,2593.02,2492.54,2534.07,2162.97
2010-02-24,2635.49,2525.02,2569.38,2185.91
2010-02-25,2677.51,2559.07,2610.93,2215.4
2010-02-26,2667.33,2551.55,2595.88,2209.01
2010-03-01,2696.92,2588.76,2626.93,2245.05
2010-03-02,2687.3,2577.95,2615.89,2236.77
2010-03-03,2710.46,2593.88,2631.98,2245.77
2010-03-04,2638.25,2528.78,2569.06,2195.14
2010-03-05,2645.96,2537.71,2577.21,2201.69
2010-03-08,2667.17,2558.46,2595.59,2219.03
2010-03-09,2682.78,2573.31,2615.67,2234.81
2010-03-10,2659.09,2555.62,2598.93,2223.02
2010-03-11,2655.03,2554.99,2600.86,2226.77
2010-03-12,2616.71,2523.61,2562.53,2202.77
2010-03-15,2582.24,2481.72,2526.03,2163.9
2010-03-16,2599.1,2498.55,2544.67,2180.11
2010-03-17,2656.04,2557.99,2596.75,2230.55
2010-03-18,2654.39,2550.12,2590.02,2219.68
2010-03-19,2676.02,2570.86,2609.59,2235.12
2010-03-22,2682.61,2580.1,2612.04,2243.13
2010-03-23,2660.91,2556.26,2590.76,2221.5
2010-03-24,2662.99,2557.42,2589.5,2222.54
2010-03-25,2622.28,2522.69,2543.97,2194.19
2010-03-26,2656.91,2560.95,2579.53,2229.19
2010-03-29,2720.91,2626.48,2653.96,2295.45
2010-03-30,2726.3,2634.82,2657.65,2302.97
2010-03-31,2714.45,2617.15,2640.39,2284.66
2010-04-01,2756.66,2648.66,2678.23,2309.84
2010-04-02,2771.68,2656.06,2691.6,2314.35
2010-04-06,2765.98,2654.36,2683.54,2310.41
2010-04-07,2750.91,2644.73,2661.44,2298.13
2010-04-08,2723.87,2610.26,2620.59,2259.14
2010-04-09,2751.89,2636.53,2642.54,2279.12
2010-04-12,2732.6,2616.48,2606.22,2250.01
2010-04-13,2753.79,2657.23,2639.3,2298.1
2010-04-14,2768.5,2662.38,2648.51,2297.22
2010-04-15,2756.48,2655.91,2643.9,2297.13
2010-04-16,2732.23,2620.95,2613.11,2260.23
2010-04-19,2590.54,2482.6,2471.93,2139.85
2010-04-20,2589.34,2484.38,2450.69,2133.86
2010-04-21,2646.5,2532.06,2493.8,2168.2
2010-04-22,2630.24,2497.83,2467.89,2127.9
2010-04-23,2626.57,2483.3,2464.35,2116.35
2010-04-26,2613.36,2470.64,2445.81,2100.4
2010-04-27,2561.17,2421.59,2396.7,2060.47
2010-04-28,2549.89,2411.3,2391.17,2055.6
2010-04-29,2506.15,2392.34,2371.06,2051.79
2010-04-30,2494.18,2408.95,2372.41,2082.87
2010-05-04,2446.16,2380.7,2309.3,2054.24
2010-05-05,2462.17,2394.5,2307.85,2057.58
2010-05-06,2353.02,2286.16,2188.81,1958.95
2010-05-07,2304.91,2243.15,2151.28,1926.09
2010-05-10,2307.34,2268.47,2175.1,1960.28
2010-05-11,2256.18,2224.42,2131.6,1924.69
2010-05-12,2253.58,2250.79,2143.83,1960.45
2010-05-13,2313.29,2302.34,2194.82,2001.21
2010-05-14,2304.19,2284.95,2175.76,1980.19
2010-05-17,2171.82,2168.81,2052.42,1888.41
2010-05-18,2220.23,2210.68,2105.84,1927.57
2010-05-19,2217.36,2200.59,2100.65,1915.08
2010-05-20,2188.58,2168.68,2076.11,1889.13
2010-05-21,2233.34,2193.06,2117.41,1906.75
2010-05-24,2330.56,2266.51,2206.18,1965.34
2010-05-25,2290.12,2216.14,2156.29,1914.13
2010-05-26,2289.43,2217.63,2157.49,1913.26
2010-05-27,2329.63,2250.02,2191.23,1938.06
2010-05-28,2323.49,2244.62,2178.74,1931.32
2010-05-31,2256.0,2189.49,2113.52,1887.63
2010-06-01,2225.92,2171.15,2088.34,1874.98
2010-06-02,2244.41,2174.53,2104.99,1871.2
2010-06-03,2222.26,2164.6,2080.63,1864.03
2010-06-04,2236.72,2165.86,2094.31,1860.99
2010-06-07,2206.32,2124.58,2058.18,1817.92
2010-06-08,2217.19,2119.37,2066.17,1807.22
2010-06-09,2280.43,2183.88,2132.73,1867.81
2010-06-10,2256.51,2158.41,2099.91,1837.91
2010-06-11,2258.04,2168.08,2101.42,1848.92
2010-06-17,2237.31,2158.35,2091.14,1845.06
2010-06-18,2188.8,2126.94,2059.08,1832.32
2010-06-21,2253.52,2194.21,2125.78,1892.39
2010-06-22,2256.81,2197.67,2124.28,1893.56
2010-06-23,2236.3,2179.34,2104.21,1878.65
2010-06-24,2234.64,2177.11,2103.2,1877.15
2010-06-25,2211.41,2164.04,2088.92,1871.26
2010-06-28,2192.38,2149.98,2076.41,1863.24
2010-06-29,2090.97,2054.17,1984.77,1784.17
2010-06-30,2071.36,2033.29,1970.53,1769.42
2010-07-01,2032.25,2006.9,1937.61,1749.61
2010-07-02,2028.96,2015.43,1941.23,1763.38
2010-07-05,2010.9,2001.47,1922.56,1753.07
2010-07-06,2055.58,2040.06,1960.31,1783.39
2010-07-07,2071.84,2055.74,1969.8,1793.53
2010-07-08,2069.24,2049.32,1971.77,1787.09
2010-07-09,2132.28,2098.5,2031.14,1826.04
2010-07-12,2157.05,2118.39,2055.95,1842.43
2010-07-13,2126.25,2084.05,2026.46,1812.88
2010-07-14,2137.98,2098.26,2037.32,1821.81
2010-07-15,2101.21,2062.14,2006.23,1794.0
2010-07-16,2165.11,2065.27,2014.65,1795.25
2010-07-19,2165.11,2112.93,2064.49,1835.71
2010-07-20,2214.7,2157.18,2105.55,1870.27
2010-07-21,2217.26,2163.53,2107.29,1875.14
2010-07-22,2247.39,2188.9,2132.35,1895.67
2010-07-23,2257.3,2197.48,2144.1,1906.0
2010-07-26,2278.51,2208.32,2160.91,1909.72
2010-07-27,2268.46,2198.09,2145.22,1898.43
2010-07-28,2323.84,2249.99,2197.62,1946.02
2010-07-29,2330.06,2264.35,2201.11,1957.43
2010-07-30,2324.57,2258.42,2195.49,1951.33
2010-08-02,2366.9,2295.08,2235.97,1979.31
2010-08-03,2329.13,2252.49,2199.59,1942.81
2010-08-04,2341.78,2259.29,2208.44,1942.89
2010-08-05,2327.95,2236.64,2189.42,1915.79
2010-08-06,2365.65,2274.27,2220.23,1944.54
2010-08-09,2392.89,2283.74,2244.41,1947.79
2010-08-10,2318.95,2218.7,2178.3,1896.79
2010-08-11,2334.04,2234.36,2187.5,1906.36
2010-08-12,2307.48,2206.79,2162.87,1881.2
2010-08-13,2341.01,2234.62,2188.33,1901.44
2010-08-16,2394.07,2287.96,2236.35,1944.87
2010-08-17,2411.44,2301.89,2252.9,1955.75
2010-08-18,2407.01,2298.52,2247.61,1952.51
2010-08-19,2417.07,2312.8,2260.25,1967.89
2010-08-20,2366.51,2272.97,2219.9,1937.64
2010-08-23,2369.88,2271.71,2222.81,1931.85
2010-08-24,2379.99,2285.01,2225.43,1938.46
2010-08-25,2327.37,2232.36,2178.86,1893.63
2010-08-26,2334.69,2237.03,2184.61,1894.97
2010-08-27,2345.95,2241.89,2192.66,1897.37
2010-08-30,2399.2,2280.49,2236.53,1924.15
2010-08-31,2399.17,2266.77,2233.57,1907.03
2010-09-01,2380.57,2249.61,2222.85,1898.5
2010-09-02,2410.87,2279.67,2248.27,1919.73
2010-09-03,2413.73,2279.83,2243.12,1913.96
2010-09-06,2448.65,2322.98,2285.17,1960.03
2010-09-07,2453.97,2328.08,2284.98,1960.73
2010-09-08,2460.87,2321.03,2284.11,1948.3
2010-09-09,2421.04,2277.33,2243.37,1907.88
2010-09-10,2437.24,2277.17,2253.25,1904.25
2010-09-13,2467.26,2300.24,2271.69,1915.91
2010-09-14,2470.96,2300.47,2274.49,1916.24
2010-09-15,2426.28,2262.02,2231.57,1883.2
2010-09-16,2377.31,2221.71,2190.12,1849.3
2010-09-17,2387.53,2219.3,2199.54,1846.99
2010-09-20,2374.26,2210.93,2196.13,1846.25
2010-09-21,2377.23,2216.9,2203.35,1855.03
2010-09-27,2429.64,2245.24,2243.32,1871.06
2010-09-28,2417.11,2222.2,2231.59,1845.51
2010-09-29,2405.89,2217.57,2227.37,1846.73
2010-09-30,2455.5,2264.64,2276.79,1886.52
2010-10-08,2551.71,2337.15,2374.28,1949.19
2010-10-11,2608.3,2407.28,2436.9,2023.56
2010-10-12,2642.21,2433.74,2474.41,2044.23
2010-10-13,2672.61,2471.04,2511.89,2081.49
2010-10-14,2667.75,2476.3,2523.19,2103.89
2010-10-15,2735.57,2560.15,2607.97,2191.98
2010-10-18,2706.72,2550.19,2589.1,2186.67
2010-10-19,2779.7,2594.99,2648.99,2218.35
2010-10-20,2812.67,2607.5,2678.18,2231.51
2010-10-21,2797.86,2587.61,2650.21,2200.61
2010-10-22,2814.0,2580.63,2663.44,2187.78
2010-10-25,2897.36,2657.38,2741.19,2252.78
2010-10-26,2889.16,2648.88,2722.57,2241.2
2010-10-27,2838.9,2602.72,2673.34,2200.66
2010-10-28,2833.68,2598.25,2673.19,2197.74
2010-10-29,2826.01,2579.9,2650.39,2167.96
2010-11-01,2908.96,2641.91,2723.8,2210.8
2010-11-02,2900.26,2630.96,2717.22,2199.59
2010-11-03,2856.05,2603.93,2688.55,2191.06
2010-11-04,2910.44,2648.42,2728.55,2221.44
2010-11-05,2948.82,2676.19,2758.75,2238.59
2010-11-08,2972.87,2703.09,2768.93,2256.82
2010-11-09,2973.43,2675.09,2755.06,2220.95
2010-11-10,2962.21,2651.49,2738.48,2191.85
2010-11-11,2962.29,2667.13,2745.45,2217.28
2010-11-12,2777.92,2509.16,2581.26,2094.02
2010-11-15,2813.72,2524.89,2603.32,2097.23
2010-11-16,2693.05,2415.19,2485.19,2008.9
2010-11-17,2619.35,2368.01,2428.22,1981.76
2010-11-18,2660.97,2397.08,2465.37,2002.92
2010-11-19,2701.46,2416.51,2490.94,2007.5
2010-11-22,2703.08,2408.37,2485.21,1990.38
2010-11-23,2655.22,2355.34,2443.49,1946.19
2010-11-24,2730.66,2401.24,2507.64,1977.49
2010-11-25,2765.7,2436.77,2543.68,2007.08
2010-11-26,2749.27,2410.28,2527.8,1984.85
2010-11-29,2758.59,2401.76,2536.79,1977.31
2010-11-30,2708.2,2366.7,2487.18,1948.64
2010-12-01,2699.21,2367.76,2482.45,1952.81
2010-12-02,2710.35,2383.99,2495.18,1968.9
2010-12-03,2706.15,2389.79,2496.54,1977.27
2010-12-06,2700.56,2401.31,2505.57,2002.63
2010-12-07,2741.41,2421.49,2543.5,2015.82
2010-12-08,2725.78,2395.68,2524.91,1987.89
2010-12-09,2676.54,2362.39,2484.67,1960.99
2010-12-10,2709.57,2391.82,2511.42,1983.9
2010-12-13,2786.58,2467.98,2576.09,2044.43
2010-12-14,2796.93,2471.5,2577.13,2043.05
2010-12-15,2783.54,2451.13,2563.1,2025.92
2010-12-16,2772.15,2434.9,2551.49,2011.01
2010-12-17,2763.22,2435.13,2540.99,2009.07
2010-12-20,2719.53,2404.11,2493.27,1977.41
2010-12-21,2768.84,2459.01,2541.63,2026.93
2010-12-22,2743.16,2430.6,2516.48,2002.89
2010-12-23,2717.07,2406.9,2502.8,1990.86
2010-12-24,2686.85,2394.37,2484.6,1986.51
2010-12-27,2634.29,2343.16,2438.22,1948.56
2010-12-28,2593.25,2297.56,2403.71,1914.94
2010-12-29,2615.6,2310.62,2418.42,1917.94
2010-12-30,2619.73,2312.11,2417.59,1915.47
2010-12-31,2677.61,2358.12,2465.82,1947.6
2011-01-04,2726.93,2399.62,2514.02,1982.15
2011-01-05,2720.21,2387.43,2504.6,1967.63
2011-01-06,2699.87,2377.62,2484.2,1957.46
2011-01-07,2700.66,2384.9,2492.46,1973.58
2011-01-10,2641.0,2344.24,2442.45,1944.92
2011-01-11,2642.6,2361.57,2452.69,1964.14
2011-01-12,2655.09,2375.85,2466.55,1978.45
2011-01-13,2658.37,2374.16,2469.68,1978.69
2011-01-14,2613.47,2339.63,2432.5,1955.37
2011-01-17,2507.66,2259.61,2334.68,1891.49
2011-01-18,2511.94,2262.88,2341.01,1893.56
2011-01-19,2576.43,2307.41,2397.21,1922.28
2011-01-20,2487.21,2234.75,2310.81,1864.43
2011-01-21,2510.91,2269.4,2333.37,1895.43
2011-01-24,2474.06,2251.32,2304.33,1885.11
2011-01-25,2454.66,2244.51,2294.53,1885.56
2011-01-26,2495.85,2270.05,2325.74,1902.44
2011-01-27,2542.09,2305.27,2362.75,1925.41
2011-01-28,2559.62,2309.04,2370.85,1924.74
2011-01-31,2597.51,2333.64,2399.29,1941.38
2011-02-01,2596.01,2335.23,2399.47,1942.08
2011-02-09,2559.27,2315.7,2360.93,1923.6
2011-02-10,2613.7,2364.7,2409.98,1962.57
2011-02-11,2633.15,2373.76,2424.81,1967.0
2011-02-14,2706.22,2451.69,2498.63,2037.26
2011-02-15,2705.83,2447.84,2496.21,2030.82
2011-02-16,2736.23,2469.12,2519.53,2039.57
2011-02-17,2742.05,2465.72,2517.05,2030.62
2011-02-18,2711.59,2439.87,2489.77,2011.37
2011-02-21,2747.68,2475.81,2517.35,2037.31
2011-02-22,2669.78,2404.79,2448.5,1980.31
2011-02-23,2684.85,2410.48,2461.43,1979.24
2011-02-24,2697.97,2425.09,2469.47,1992.3
2011-02-25,2699.85,2432.9,2475.63,1999.43
2011-02-28,2734.87,2467.28,2507.9,2022.89
2011-03-01,2747.31,2478.96,2522.34,2035.76
2011-03-02,2739.53,2470.48,2522.57,2034.26
2011-03-03,2708.11,2463.01,2505.55,2039.14
2011-03-04,2744.34,2502.62,2539.15,2070.82
2011-03-07,2795.32,2547.64,2587.03,2111.2
2011-03-08,2798.71,2548.91,2588.01,2109.95
2011-03-09,2805.0,2547.14,2591.17,2108.77
2011-03-10,2760.97,2499.56,2546.57,2065.53
2011-03-11,2735.28,2476.62,2517.03,2043.25
2011-03-14,2752.39,2485.39,2530.14,2050.69
2011-03-15,2702.58,2441.66,2482.57,2014.0
2011-03-16,2732.5,2477.59,2514.57,2040.49
2011-03-17,2695.53,2433.51,2484.69,2008.97
2011-03-18,2715.61,2441.86,2505.0,2014.96
2011-03-21,2704.6,2435.71,2497.24,2010.88
2011-03-22,2712.13,2450.16,2509.71,2025.82
2011-03-23,2750.89,2478.3,2541.86,2047.0
2011-03-24,2739.66,2470.01,2528.71,2040.25
2011-03-25,2772.64,2500.75,2561.76,2066.62
2011-03-28,2760.17,2500.2,2552.6,2070.26
2011-03-29,2724.32,2478.22,2525.05,2060.63
2011-03-30,2718.98,2477.7,2524.65,2060.6
2011-03-31,2694.19,2454.68,2505.32,2044.84
2011-04-01,2733.6,2490.28,2548.21,2077.97
2011-04-06,2752.13,2523.38,2580.45,2114.98
2011-04-07,2767.28,2531.54,2593.35,2122.13
2011-04-08,2789.17,2557.68,2606.23,2138.5
2011-04-11,2771.81,2542.52,2592.54,2124.13
2011-04-12,2765.71,2542.12,2586.03,2122.15
2011-04-13,2808.07,2571.77,2630.68,2151.19
2011-04-14,2788.35,2564.8,2611.05,2143.65
2011-04-15,2789.37,2569.91,2615.56,2153.47
2011-04-18,2788.86,2570.29,2616.6,2156.63
2011-04-19,2745.2,2517.79,2570.68,2109.89
2011-04-20,2748.55,2520.61,2562.81,2106.99
2011-04-21,2762.33,2539.43,2576.3,2121.89
2011-04-22,2751.55,2526.81,2567.9,2110.03
2011-04-25,2711.59,2489.38,2539.49,2082.64
2011-04-26,2695.8,2470.43,2527.41,2071.32
2011-04-27,2673.04,2459.25,2510.01,2066.32
2011-04-28,2626.2,2425.52,2483.6,2051.95
2011-04-29,2653.52,2451.61,2501.59,2066.42
2011-05-03,2668.57,2467.37,2511.72,2075.66
2011-05-04,2601.19,2407.34,2446.29,2022.77
2011-05-05,2597.14,2405.51,2440.69,2020.81
2011-05-06,2596.43,2402.28,2432.53,2013.9
2011-05-09,2606.58,2407.53,2438.37,2016.19
2011-05-10,2620.61,2428.0,2453.53,2034.79
2011-05-11,2621.08,2416.14,2453.37,2021.97
2011-05-12,2585.96,2385.19,2420.6,1999.89
2011-05-13,2605.35,2405.67,2440.3,2016.17
2011-05-16,2585.2,2383.82,2416.98,1995.77
2011-05-17,2597.92,2392.2,2433.91,2002.25
2011-05-18,2618.02,2409.2,2457.43,2018.56
2011-05-19,2603.91,2392.55,2444.3,2006.7
2011-05-20,2602.02,2392.68,2444.75,2009.22
2011-05-23,2519.82,2316.31,2368.8,1947.68
2011-05-24,2521.14,2316.65,2373.49,1948.5
2011-05-25,2495.59,2285.97,2348.37,1922.24
2011-05-26,2481.13,2278.07,2341.03,1920.19
2011-05-27,2460.6,2269.81,2332.96,1923.38
2011-05-30,2449.42,2264.43,2329.8,1926.66
2011-05-31,2492.77,2299.01,2369.48,1953.41
2011-06-01,2500.22,2297.99,2372.74,1945.8
2011-06-02,2462.32,2256.77,2330.83,1907.43
2011-06-03,2490.41,2278.77,2353.39,1920.92
2011-06-07,2504.53,2291.93,2365.7,1931.55
