Trddt,I000002,I000020,I399005,I399106
2014-01-02,2207.56,851.9169999999999,5059.369000000001,1068.103
2014-01-03,2180.1,842.177,5068.6320000000005,1065.687
2014-01-06,2141.025,820.203,4950.747,1038.336
2014-01-07,2142.6639999999998,825.74,4988.5,1044.6660000000002
2014-01-08,2139.51,826.684,5019.879,1053.77
2014-01-09,2121.909,817.813,4944.613,1038.624
2014-01-10,2106.947,803.946,4860.31,1021.5930000000001
2014-01-13,2103.0660000000003,797.5319999999999,4828.985,1019.4689999999999
2014-01-14,2121.133,809.953,4901.99,1039.625
2014-01-15,2117.431,813.946,4962.5070000000005,1047.305
2014-01-16,2117.794,815.919,4931.816,1046.1689999999999
2014-01-17,2098.121,804.946,4866.125,1036.0330000000001
2014-01-20,2083.74,801.433,4816.9529999999995,1026.938
2014-01-21,2101.613,812.4830000000001,4873.892,1042.587
2014-01-22,2147.136,831.743,4985.267,1067.0539999999999
2014-01-23,2137.065,835.4730000000001,5020.456,1075.475
2014-01-24,2149.877,848.2710000000001,5103.420999999999,1089.529
2014-01-27,2127.755,845.841,5082.9490000000005,1083.21
2014-01-28,2133.335,843.477,5046.2390000000005,1079.843
2014-01-29,2145.242,852.0,5086.288,1089.004
2014-01-30,2127.617,849.882,5030.201,1081.269
2014-02-07,2139.597,863.325,5111.619000000001,1098.685
2014-02-10,2183.225,884.284,5292.0740000000005,1128.06
2014-02-11,2201.778,886.9169999999999,5268.298000000001,1127.221
2014-02-12,2208.388,895.6360000000001,5327.7609999999995,1139.0410000000002
2014-02-13,2196.354,882.573,5254.308000000001,1119.933
2014-02-14,2214.801,897.765,5330.344,1138.389
2014-02-17,2235.3920000000003,915.308,5412.611,1160.386
2014-02-18,2218.26,914.436,5386.633000000001,1155.623
2014-02-19,2242.944,916.582,5413.601,1157.198
2014-02-20,2238.965,903.7860000000001,5300.111,1139.269
2014-02-21,2212.635,900.803,5280.108,1135.011
2014-02-24,2173.928,899.3430000000001,5265.81,1134.192
2014-02-25,2129.5660000000003,869.39,5046.866,1089.2160000000001
2014-02-26,2137.0029999999997,874.681,5059.19,1094.734
2014-02-27,2143.462,864.6469999999999,4941.468,1075.48
