,Unnamed: 0,0
0,FIN_zcgg_0,财国合〔2020〕30号国务院有关部委、有关直属机构，河南省财政厅、广东省财政厅、广西壮族自治区财政厅：　　为落实党中央国务院依法推进简政放权、放管结合、优化服务改革的相关精神，进一步优化世界银行贷款中国经济改革促进与能力加强项目的管理流程，根据《国际金融组织和外国政府贷款赠款管理办法》（财政部令第85号），我们对《中国经济改革促进与能力加强项目管理暂行办法》（财际〔2014〕80号，以下简称《暂行办法》）的部分条款进行了修改完善，现将具体补充内容通知如下：　　一、将第一条、第四十九条中的“《国际金融组织和外国政府贷款赠款管理办法》（财政部令第38号）”修改为“《国际金融组织和外国政府贷款赠款管理办法》（财政部令第85号）”；第三条、第二十九条、第三十七条中的“财政部国际司”修改为“财政部国际财金合作司”。　　二、将第二十二条修改为：“涉及以下调整，应当由子项目单位直接或通过所在地省级财政部门向财政部和世界银行提出，由财政部商世界银行同意并办理相关手续后方可执行：1、《子项目执行协议》或《子项目转贷协议》的调整；2、预算表中各类别预算的上限调增以及在各类别预算限额内，超过贷款总额5%（含5%）的预算增幅；3、预算表中类别间超过贷款总额5%的调整；4、活动类型和项目目标内容的调整。其他调整均需提前10个工作日报财政部备案(子项目单位经批准的外事计划及调整的批复按第二十七条的规定进行备案)”。　　三、将第二十三条修改为：“子项目单位不能在规定期限内完成子项目，应当在项目原实施期结束前2个月向财政部正式提出延期申请，由财政部商世界银行同意后办理相关手续”。　　四、将第二十四条修改为：“子项目单位应当合理使用子项目资金。子项目资金仅限于以下类别：（一）聘用咨询专家（机构/个人）的费用（包括其差旅费）；（二）培训学习、调研、研讨会、资料、翻译等费用；（三）与项目密切相关的少量设备购置（仅限能力建设部分项目）；（四）项目成果的宣传与推广”。　　五、将第二十七条修改为：“子项目单位应当承担和落实主体责任，将子项目下的出国（境）活动纳入本部门、本地区外事计划管理。应按照中央和国家有关规定，切实履行本部门、本地区审批程序，开展子项目下相关出国（境）活动。经批准的外事计划及调整的批复在出境前45日内报财政部备案”。　　六、将第二十八条修改为：“子项目单位利用子项目资金出国调研、培训的费用开支标准，按财政部、外交部印发的《因公临时出国经费管理办法》（财行〔2013〕516号），财政部、国家外国专家局印发的《因公短期出国培训费用管理办法》（财行〔2014〕4号），国家外国专家局、财政部《关于调整中长期出国（境）培训人员费用开支标准的通知》（外专发〔2012〕126号），财政部、外交部印发的《关于调整因公临时出国住宿费标准等有关事项的通知》（财行〔2017〕434号）的相关规定执行。上述文件如有调整，则从其最新规定”。　　七、将第四十八条修改为：“财政部应当对项目执行情况实施监督检查。对子项目单位违反资金使用、采购、外事管理等方面的行为，财政部将会同有关部门予以查处，对项目实施过程中出现的问题，财政部应当责令子项目单位采取有效措施，在规定时间内加以解决和纠正。财政部将视整改情况作出恢复、暂停或者终止子项目的决定”。　　请严格遵照《暂行办法》及补充通知中的有关规定，切实强化项目管理，压实项目实施主体责任，积极推进实施。　　《暂行办法》有关规定与本补充通知不一致的，以本补充通知为准。　　财  政  部　　2020年7月30日
1,FIN_zcgg_1,"财预〔2020〕92 号有关省、自治区、直辖市财政厅（局）：　　根据《土地指标跨省域调剂收入安排的支出管理暂行办法》（财预〔2019〕64号）等文件规定，现下达2020年土地指标跨省域调剂收入安排的支出预算（项目代码：Z195110010006）,专项用于城乡建设用地增减挂钩节余指标跨省域调剂有关支出。现将有关要求通知如下：　　一、根据自然资源部下达并经你省（自治区、直辖市）确认的2019年调出任务及土地验收进展、2018年调出任务新增完成验收情况等，现下达你省（自治区、直辖市）土地指标跨省域调剂收入安排的支出预算。　　二、请你省（自治区、直辖市）根据有关规定，在接到中央财政下达的专项资金预算30日内，将资金分解下达到市、县，并报财政部备案。同时将下达市、县财政部门专项资金文件抄送财政部当地监管局。　　三、市、县财政部门收到专项资金后，应当进行专项管理，分账核算，保证资金专款专用，按规定全部用于巩固脱贫攻坚成果和支持实施乡村振兴战略，优先和重点保障产生节余指标深度贫困地区的安置补偿、拆旧复垦、基础设施和公共服务设施建设、生态修复、耕地保护、高标准农田建设、农业农村发展建设以及购买易地扶贫搬迁服务等，支出列入2020年政府收支分类科目“213 农林水支出”科目。　　四、按照《中共中央 国务院关于全面实施预算绩效管理的意见》、《国务院办公厅关于转发财政部、国务院扶贫办、国家发展改革委扶贫项目资金绩效管理办法的通知》（国办发〔2018〕35号）有关要求，请你省（自治区、直辖市）组织指导市县对专项资金做好全过程预算绩效管理工作，充分利用财政扶贫资金动态监控平台，加强对市县扶贫资金绩效管理工作的实时监控，及时发现问题并督促整改，切实提高财政资金使用效益。　　附件：2020年土地指标跨省域调剂收入安排的支出预算表　　财政部　　2020年7月21日"
2,FIN_zcgg_2,财建〔2020〕289号各省、自治区、直辖市财政厅（局）：　　按照党中央、国务院战略部署，中央财政在特殊转移支付中安排部分资金用于支持地方应急物资保障体系建设。现将有关补助资金（各省、自治区、直辖市预算指标见附表1）下达给你们，并就有关事项通知如下：　　应急物资保障体系建设资金用于支持地方加快补齐应急物资保障短板，健全完善中央和地方统筹安排、分级储备、重特大突发事件发生时可统一调度的应急物资保障体系。　　各省、自治区、直辖市要围绕相关政策要求中明确的进一步充实完善专用应急政府储备、大力支持产能备份建设、增强医疗物资和装备应急转产能力等三方面重点任务，统筹整合已有储备资源，进一步充实完善专用应急政府储备的品种规模，对重大传染病防治专用药品和医疗防护物资储备的采购、轮换、管理及利息费用支出予以补助支持；着力提升公共卫生应急物资生产动员能力，支持国有及民营企业开展必要的产能备份建设和增强应急转产能力，形成可持续的医疗物资、装备供给能力。　　各省、自治区、直辖市在安排和具体分配中央财政特殊转移支付资金项目（计划单列市、新疆生产建设兵团纳入相关省、自治区统筹考虑）时，要遵循以下原则：　　因地制宜，统筹规划。根据本地实际情况，科学合理细化项目安排。严格落实地方应急保障体系建设主体责任，统筹加大投入力度，保证项目可持续。　　直达基层，惠企利民。确保钱跟着项目走，及时将中央财政支持资金直接下达到市县基层。重点支持地方事权和中央地方共同事权项目，做好项目衔接配套。　　精打细算，提质增效。牢固树立过紧日子的思想，系紧钱袋子。认真贯彻落实中央直达资金管理规定，加强资金监管，切实提升资金效益。　　中央财政安排的应急物资保障体系建设资金，以人口为主要因素，兼顾县级行政区划数量，同时考虑东中西部财力差异，按照因素法切块分配，属一次性补助资金。　　补助资金主要用于市县基层，由各省、自治区、直辖市按照补短板需求和任务承担单位级次统筹安排，重点支持地方事权和中央地方共同事权项目，集中对重点救治药品、医疗防护物资、医疗救治设备方面储备及生产动员能力建设（不含医疗机构医疗物资储备及生产能力建设）相关支出给予补助。　　各省、自治区、直辖市要同步加大对地方应急物资保障体系建设的支持力度。　　此次下达资金为直达资金，在指标系统中按照“01003特殊转移支付”标识，贯穿资金分配、拨付、使用等整个环节，且保持不变。项目代码及名称：Z205060000001体制结算-应急物资保障体系建设，收入列2020年政府收支分类“1100208结算补助收入”科目。省级财政部门在向下级下达该项转移支付时，应单独下发预算指标文件，并保持中央直达资金标识不变，资金单独调拨，及时将资金指标导入直达资金监控系统，纳入直达资金监控系统全程监测，监控系统中要确保数据真实、账目清晰、流向明确，资金直达基层。财政部门将中央直达资金分解落实到单位和具体项目时，对于资金来源既包含中央直达资金又包含其他资金的，应在预算指标文件、指标管理系统中按资金明细来源分别列示，同时在指标系统中分别登录，并导入直达资金监控系统。直达资金下达后，应按照预算公开规定及时公开预算信息。　　省级财政部门要会同有关部门，及时将资金和任务细化到项目单位，已从其他渠道获得中央财政支持的项目不予重复安排。　　请各省级财政部门于本通知印发之日起10日内将资金细化方案表报送财政部（格式见附表2，电子版需一并附上）备案。　　特此通知。　　附表：1.中央财政支持应急物资保障体系建设补助资金分省预算指标          2.XXX省（自治区、直辖市）中央财政支持应急物资保障体系建设资金细化方案表参考格式　　财  政  部　　2020年7月15日
3,FIN_zcgg_3,财预〔2020〕94 号各省、自治区、直辖市、计划单列市财政厅（局），新疆生产建设兵团财政局：　　为贯彻落实国务院常务会议部署，用好地方政府专项债券（以下简称专项债券），加强资金和项目对接、提高资金使用效益，做好“六稳”工作、落实“六保”任务，现就加快地方政府专项债券发行使用有关工作通知如下：　　特此通知。 财政部   2020年7月27日
4,FIN_zcgg_4,财库〔2020〕23号党中央有关部门，国务院各部委、各直属机构，全国人大常委会办公厅，全国政协办公厅，最高人民法院，最高人民检察院，各民主党派中央，有关人民团体，各省、自治区、直辖市、计划单列市财政厅（局），新疆生产建设兵团财政局，财政部各地监管局：　　为切实落实减税降费政策，把保就业、保民生、保市场主体等“六保”任务不折不扣落实到位，把已取消、停征、免征及降低征收标准的收费基金优惠政策不折不扣地落实到相关企业和个人，现就加强非税收入退付管理有关事项通知如下：　　各级财政部门要结合本地实际，进一步优化非税收入退付业务流程，提高减税降费涉及非税收入退付工作效率，对实行定期清算、已缴纳款项可冲抵以后月份应缴款的非税收入，要明确冲抵流程和操作办法。各级财政部门和财政部各地监管局要加强配合，对涉及中央地方分成需就地办理退库的非税收入，按照规定加快办理退付。　　各地财政部门要积极推动非税收入电子退付、电子对账等方面的创新。有条件的地方可探索实现非税收入退付申报、业务审核、缴款审核、资金退付等业务网上办理，通过“非接触”退付，助力新冠肺炎疫情防控工作，切实减轻企业和个人负担。　　各级财政部门要认真开展非税收入月度执行情况与减、免、缓、停政策的联动分析，确保政策落实到位。各执收单位要加强内部控制，建立健全非税收入退付内部控制制度，实行退付资金复核制度，认真做好非税收入收缴和退付的核算工作。　　各级财政部门和各执收单位要采取多种形式积极宣传、准确解读减税降费政策要求，确保减税降费红利及时足额惠及缴款企业和个人，增加群众获得感。　　各级财政部门、财政部各地监管局、有关主管部门要结合部门职责，指导和监督各执收单位，及时主动为应予退付的企业和个人办理退付业务，切实缓解企业经营困难。遇到重要或突发情况要及时报告。　　财  政  部　　2020年7月16日
5,FIN_zcgg_5,
6,FIN_zcgg_6,财预〔2020〕65号有关省、自治区、直辖市、计划单列市财政厅（局）：　　为支持县级政府兜住“保基本民生、保工资、保运转”底线，中央财政现下达你省（区、市，以下简称省）2020年县级基本财力保障机制奖补资金预算，扣除《财政部关于提前下达2020年县级基本财力保障机制奖补资金预算的通知》（财预〔2019〕176号）、《财政部关于预拨2020年县级基本财力保障机制奖补资金预算的通知》（财预〔2020〕8号）已下达部分，此次下达你省金额见附件，项目代码为Z135110059001，列入2020年政府收支分类科目“1100207县级基本财力保障机制奖补资金收入”。按照中央财政实行特殊转移支付机制资金监督管理办法，2020年县级基本财力保障机制奖补资金中的部分资金（具体额度见附件）纳入直达资金管理，并纳入中央财政直达资金监控系统全程监测。该项直达资金的标识为“01002正常转移支付”，该标识贯穿资金分配、拨付、使用等整个环节，且保持不变。由于此次下达金额小于直达资金额度，请相应调整部分此前已下达资金。　　省级财政要切实承担起主体责任，按照资金管理办法，结合本地实际，合理测算分配中央奖补资金，加强“三保”等重点领域经费保障，坚持“三保”支出在财政支出中的优先顺序，进一步均衡省以下财力分配，加大对基层特别是财政困难地区的支持力度，切实提高县乡政府基本财力保障水平，切实兜牢县级“三保”底线。同时，在收到本通知10日内，研究提出直达市县基层资金部分的具体分配方案报送我部备案，待我部审核同意后再行下达市县。省级、地市级财政在下达直达资金部分时，应单独下发预算指标文件，并保持中央财政直达资金标识不变，同时在指标管理系统中及时登录有关指标和直达资金标识，导入直达资金监控系统，确保数据真实、账目清晰、流向明确。　　基层财政要加强中央财政直达资金统筹使用，积极改善民生；将中央财政直达资金分解落实到单位和具体项目时，对于资金来源既包含中央财政直达资金又包含其他资金的，应在预算指标文件、指标管理系统中按资金明细来源分别列示，在指标系统中分别登录，并将中央财政直达资金部分导入直达资金监控系统。　　需要说明的是，中央财政下达的县级基本财力保障机制奖补资金中包含支持你省深度贫困地区脱贫攻坚资金，具体额度见附件，请及时将上述资金下达到有关贫困县（市、区、旗），并督促其加强资金使用管理，统筹支持本地区脱贫攻坚工作。　　附件：2020年县级基本财力保障机制奖补资金预算分配表　　财  政  部　　2020年6月19日
7,FIN_zcgg_7,财金〔2020〕69号国务院有关部委、有关直属机构，全国社会保障基金理事会，各中央管理金融企业：　　为贯彻落实《中共中央 国务院关于完善国有金融资本管理的指导意见》精神，切实加强国有金融资本管理，更好地履行国有金融资本出资人职责，我部制定了《中央金融企业名录管理暂行规定》，现印发给你们，请遵照执行。执行中有何问题，请及时反馈我部。　　附件：中央金融企业名录管理暂行规定　　财  政  部　　2020年7月13日附件：中央金融企业名录管理暂行规定　　第一条 为规范中央金融企业名录管理，根据《中共中央 国务院关于完善国有金融资本管理的指导意见》、《国务院办公厅关于印发国有金融资本出资人职责暂行规定的通知》，制定本规定。　　第二条 本规定所称中央金融企业指由国务院及其授权机构代表国家履行国有金融资本出资人职责的国有独资、国有控股以及国家实际控制的金融企业。　　第三条 按照客观公正、公开透明、动态调整的原则，财政部对中央金融企业名录进行管理。　　第四条 列入中央金融企业名录的金融企业应符合下列条件：　　（一）中央管理领导人员的金融企业（以下简称中管金融企业）。　　（二）执行国有金融资本管理相关制度，由财政部代表国务院履行国有金融资本出资人职责，纳入国有企业经营预算管理、负责组织实施年度绩效评价等工作。　　第五条 中管金融企业自然列入中央金融企业名录。符合第四条第二款条件的金融企业，可根据实际情况，向财政部提出列入名录的申请，并提供有关文件和材料。财政部将结合企业实质性的产权关系、控制关系、管理关系、执行中央金融企业有关制度的程度、行业代表性、资产规模等因素，进行审核确定。　　第六条 金融企业因改制、产权转让、合并、分立、清算等行为，发生产权关系变动的，应在15个工作日内向财政部提供相关材料，财政部将结合变动前后实质性的管理关系，调整名录。　　第七条 对于因产权关系变动、经营范围调整等原因不宜纳入的企业，财政部按程序及时予以调整退出。　　第八条 确定列入和退出中央金融企业名录的企业名单，在财政部官网公布。　　第九条 本规定自印发之日起施行。
8,FIN_zcgg_8,财政部 税务总局 工业和信息化部公告2020年第35号　　为贯彻落实《中华人民共和国车辆购置税法》，现就设有固定装置的非运输专用作业车辆免征车辆购置税有关政策公告如下：　　一、设有固定装置的非运输专用作业车辆，是指采用焊接、铆接或者螺栓连接等方式固定安装专用设备或者器具，不以载运人员或者货物为主要目的，在设计和制造上用于专项作业的车辆。　　二、免征车辆购置税的设有固定装置的非运输专用作业车辆，通过发布《免征车辆购置税的设有固定装置的非运输专用作业车辆目录》（以下简称《目录》）实施管理。有关列入《目录》车辆的技术要求、《目录》的编列与管理等事项，由税务总局会同工业和信息化部另行规定。　　三、列入《目录》的设有固定装置的非运输专用作业车辆，车辆生产企业、进口车辆经销商或个人（以下简称“申请人”）在上传《机动车整车出厂合格证》或进口机动车《车辆电子信息单》（以下简称车辆电子信息）时，将“是否列入《免征车辆购置税的设有固定装置的非运输专用作业车辆目录》”字段标注“是”（即免税标识）。工业和信息化部对申请人上传的车辆电子信息中的免税标识进行审核，并将通过审核的信息传送给税务总局。税务机关依据工业和信息化部审核后的免税标识以及办理车辆购置税纳税申报需要提供的其他资料，为纳税人办理车辆购置税免税手续。　　四、申请人应当保证车辆电子信息与车辆产品相一致，对因提供虚假信息等造成车辆购置税税款流失的，依照《中华人民共和国税收征收管理法》及其实施细则予以处理。　　五、从事《目录》管理、免税标识审核和办理免税手续的工作人员履行职责时，存在滥用职权、玩忽职守、徇私舞弊等违法违纪行为的，按照《中华人民共和国公务员法》、《中华人民共和国监察法》等国家有关规定追究相应责任；涉嫌犯罪的，移送司法机关处理。　　六、本公告自2021年1月1日起施行。　　财政部　税务总局　工业和信息化部　　2020年7月1日
9,FIN_zcgg_9,农办牧〔2020〕32号各省、自治区、直辖市及大连、青岛、厦门、宁波市农业农村（农牧、畜牧兽医）厅（局、委）、财政厅（局），新疆生产建设兵团农业农村局、财政局，黑龙江省农垦总局：　　为贯彻党中央、国务院关于坚决打好污染防治攻坚战和改善农村人居环境的决策部署，落实《国务院办公厅关于加快推进畜禽养殖废弃物资源化利用的意见》（国办发〔2017〕48号），2020年中央财政继续支持畜禽粪污资源化利用工作。为确保政策落实到位，提高资金使用效益，现将有关事项通知如下。　　各地要深入贯彻新发展理念，坚持政府支持、企业主体、市场化运作的方针，坚持源头减量、过程控制、末端利用的治理路径，以畜禽粪污肥料化和能源化利用为方向，聚焦生猪规模养殖场，全面推进畜禽粪污资源化利用。　　2020年，继续支持畜牧大县整县推进畜禽粪污资源化利用（以下简称“整县推进项目”），同时，支持符合条件的非畜牧大县规模养殖场粪污治理（以下简称“规模养殖场粪污治理项目”）。整县推进项目要全面提升养殖场户粪污处理设施装备水平，兼顾畜禽粪肥田间贮存和利用设施建设，畅通粪肥还田利用渠道，畜禽粪污综合利用率达到90%以上，规模养殖场粪污处理设施装备配套率达到100%，构建起种养结合、农牧循环的可持续发展机制。规模养殖场粪污治理项目要突出重点区域和主要畜种，重点支持规模养殖场建设适应粪污肥料化利用要求的设施装备，进一步扩大处理规模，提升处理水平，确保今年年底前全省畜禽粪污综合利用率达到75%以上，规模养殖场粪污处理设施装备配套率达到95%以上。　　整县推进项目今年安排剩余资金，按照既定实施方案支持规模养殖场和第三方处理主体开展建设。规模养殖场粪污治理项目按以下要求实施。　　（一）支持内容。规模养殖场粪污治理项目重点支持规模养殖场饮水、清粪、环境控制、臭气处理、厌氧发酵或密闭式贮存发酵以及堆（沤）肥设施建设，购置粪肥运输和施用机械设备，配套建设粪污输送管网、田间贮存池等。　　（二）支持条件。规模养殖场粪污治理项目支持范围为未实施2017—2020年中央财政和中央预算内投资畜禽粪污资源化利用整县推进项目的非畜牧大县，支持的养殖场应当具备以下条件：　　1.养殖场用地、环评等相关手续齐全，已在农业农村部规模养殖场直联直报信息系统备案。　　2.能够按要求建立粪污资源化利用台账，准确记录粪污处理和利用情况。　　3.原则上按规定配套消纳用地或者签订粪污消纳协议，畜禽粪肥就地就近还田利用。　　4.项目实施后规模养殖场臭气得到有效控制，液体粪污实现密闭贮存和处理。　　为避免多头、重复安排资金，已实施2019—2020年生猪规模化养殖场建设补助项目的养殖场不纳入支持范围。　　（三）支持方式。各省要根据项目实施条件择优确定项目支持范围，按照高标准建设的要求合理确定补助标准，通过以奖代补、先建后补等方式对2020年规模养殖场粪污处理设施新建、改扩建给予一次性补助。　　各省农业农村（农牧、畜牧兽医）部门（以下简称“农业农村部门”）、财政部门要按照《农业农村部、财政部关于做好2020年农业生产发展等项目实施工作的通知》（农计财发〔2020〕3号）要求，切实加强协作配合，做好畜禽粪污资源化利用项目实施工作。　　（一）制定实施方案。省级农业农村、财政部门要及时制定省级项目实施方案，明确实施条件、补助对象、补助标准、实施要求和监管措施等，于7月30日前报送农业农村部畜牧兽医局。整县推进项目县要切实加快项目实施进度，确保年底前完成项目目标任务。个别单体项目确因客观原因无法落地的，要抓紧调整。调整后的实施方案要及时报农业农村部、财政部备案。　　（二）强化支持保障。要积极协调落实好沼气发电上网、生物天然气并入城市管网、用地用电等政策，为畜禽粪污资源化利用项目落地和运行提供支持保障。加快培育社会化服务组织，推动形成粪肥还田利用市场机制，促进种养结合发展。要根据产地农业种植特点，组建粪污处理和粪肥还田专家组，积极探索完善还田技术规范。　　（三）严格资金使用管理。畜禽粪污资源化利用属于约束性任务，项目补助资金不得统筹使用。推动将畜禽粪污资源化利用与果菜茶有机肥替代化肥、耕地保护与质量提升、东北黑土地保护利用等项目统筹衔接实施，提高资金使用效果。　　（四）加强绩效评估。省级财政、农业农村部门要按照《农业相关转移支付资金绩效管理办法》，对畜禽粪污资源化利用项目绩效目标实现情况、任务清单完成情况、资金使用情况等进行全面评估。各级农业农村部门要加强项目实施日常监管，及时解决项目实施中的问题，组织项目实施单位按要求填报项目进度，切实加强数据审核，确保数据真实、全面、有效。　　（五）注重宣传总结。各级农业农村、财政部门要通过多种渠道加强政策宣传，为项目实施营造良好氛围。要因地制宜确定本地区主推模式，推动畜禽粪污低成本处理、就地就近还田利用。请各省于12月30日前将项目总结、整县推进典型模式报送农业农村部畜牧兽医局和财政部农业司。 　　农业农村部办公厅   财政部办公厅　　2020年7月3日
