,timestamp,title,url
FIN_zcgg_0,2020-08-11,《中国经济改革促进与能力加强项目管理暂行办法》补充通知印发,http://gjs.mof.gov.cn/zhengcefabu/202008/t20200806_3563324.htm
FIN_zcgg_1,2020-07-31,2020年土地指标跨省域调剂收入安排的支出预算下达,http://yss.mof.gov.cn/zxzyzf/apzc/202007/t20200729_3558148.htm
FIN_zcgg_2,2020-07-30,支持应急物资保障体系建设补助资金预算下达,http://jjs.mof.gov.cn/zhengcefagui/202007/t20200724_3556163.htm
FIN_zcgg_3,2020-07-29,财政部印发通知加快地方政府专项债券发行使用有关工作,http://yss.mof.gov.cn/zhuantilanmu/dfzgl/zcfg/202007/t20200729_3558515.htm
FIN_zcgg_4,2020-07-28,财政部印发通知加强非税收入退付管理,http://gks.mof.gov.cn/guizhangzhidu/202007/t20200728_3557661.htm
FIN_zcgg_5,2020-07-24,《会计师事务所从事证券服务业务备案管理办法》印发,http://kjs.mof.gov.cn/zhengcefabu/202007/t20200724_3556275.htm
FIN_zcgg_6,2020-07-20,2020年县级基本财力保障机制奖补资金预算下达,http://yss.mof.gov.cn/ybxzyzf/xjjbclbzjzjbzj/202007/t20200716_3550916.htm
FIN_zcgg_7,2020-07-17,《中央金融企业名录管理暂行规定》印发,http://jrs.mof.gov.cn/zhengcefabu/cqgl/202007/t20200715_3550190.htm
FIN_zcgg_8,2020-07-16,设有固定装置的非运输专用作业车辆免征车辆购置税,http://szs.mof.gov.cn/zhengcefabu/202007/t20200715_3549735.htm
FIN_zcgg_9,2020-07-08,2020年中央财政继续支持畜禽粪污资源化利用工作,http://nys.mof.gov.cn/czpjZhengCeFaBu_2_2/202007/t20200707_3544916.htm
FIN_zcgg_10,2020-07-07,《中央自然灾害救灾资金管理暂行办法》印发,http://jjs.mof.gov.cn/zhengcefagui/202007/t20200707_3544801.htm
FIN_zcgg_11,2020-07-03,深度贫困地区2020年中央对地方重点生态功能区转移支付预算下达,http://yss.mof.gov.cn/zhengceguizhang/202007/t20200702_3542782.htm
FIN_zcgg_12,2020-07-03,资源税有关问题执行口径明确,http://szs.mof.gov.cn/zhengcefabu/202007/t20200703_3543290.htm
FIN_zcgg_13,2020-07-03,财政部、税务总局发布公告明确继续执行的资源税优惠政策,http://szs.mof.gov.cn/zhengcefabu/202007/t20200703_3543287.htm
FIN_zcgg_14,2020-07-02,九部门出台意见深入实施农村创新创业带头人培育行动,http://nys.mof.gov.cn/czpjZhengCeFaBu_2_2/202007/t20200702_3542412.htm
FIN_zcgg_15,2020-07-02,《商品包装政府采购需求标准（试行）》、《快递包装政府采购需求标准（试行）》印发,http://gks.mof.gov.cn/guizhangzhidu/202007/t20200702_3542278.htm
FIN_zcgg_16,2020-07-01,《清洁能源发展专项资金管理暂行办法》印发,http://jjs.mof.gov.cn/zhengcefagui/202006/t20200630_3540905.htm
FIN_zcgg_17,2020-07-01,财政部、生态环境部印发通知核减环境违法垃圾焚烧发电项目可再生能源电价附加补助资金,http://jjs.mof.gov.cn/zhengcefagui/202006/t20200630_3540904.htm
FIN_zcgg_18,2020-06-30,财政部、税务总局印发通知明确海南自由贸易港高端紧缺人才个人所得税政策,http://szs.mof.gov.cn/zhengcefabu/202006/t20200630_3540853.htm
FIN_zcgg_19,2020-06-30,海南自由贸易港企业所得税优惠政策明确,http://szs.mof.gov.cn/zhengcefabu/202006/t20200630_3540842.htm
FIN_zcgg_20,2020-06-29,财政部、海关总署、税务总局发布《关于海南离岛旅客免税购物政策的公告》,http://gss.mof.gov.cn/gzdt/zhengcefabu/202006/t20200629_3540437.htm
FIN_zcgg_21,2020-06-29,财政部出台意见部署进一步加强扶贫资金监管,http://jdjc.mof.gov.cn/fgzd/202006/t20200629_3539949.htm
FIN_zcgg_22,2020-06-24,两部门发布公告延长港口建设费和船舶油污损害赔偿基金减免政策执行期限,http://szs.mof.gov.cn/zt/mlqd_8464/2013yljfcs/202006/t20200624_3538118.htm
FIN_zcgg_23,2020-06-24,《新冠肺炎疫情相关租金减让会计处理规定》印发,http://kjs.mof.gov.cn/zhengcefabu/202006/t20200624_3538070.htm
FIN_zcgg_24,2020-06-23,《2020年政府收支分类科目》修订印发,http://yss.mof.gov.cn/zhengceguizhang/202006/t20200622_3536929.htm
FIN_zcgg_25,2020-06-23,《林业改革发展资金管理办法》印发,http://zyhj.mof.gov.cn/zcfb/202006/t20200622_3536734.htm
FIN_zcgg_26,2020-06-22,航空运输企业汇总缴纳增值税总分机构名单公布,http://szs.mof.gov.cn/zhengcefabu/202006/t20200619_3535534.htm
FIN_zcgg_27,2020-06-19,《<民间非营利组织会计制度>若干问题的解释》印发,http://kjs.mof.gov.cn/zhengcefabu/202006/t20200618_3534984.htm
FIN_zcgg_28,2020-06-19,《中央集中彩票公益金支持体育事业专项资金管理办法》印发,http://jkw.mof.gov.cn/zhengcefabu/202006/t20200618_3534765.htm
