Nrr1,Clsdt,Nrrdata,Nrrdaydt,Nrrwkdt,Nrrmtdt
NRI01,20000101,2.250000,0.006100,0.042800,0.185600
NRI01,20000102,2.250000,0.006100,0.042800,0.185600
NRI01,20000103,2.250000,0.006100,0.042800,0.185600
NRI01,20000104,2.250000,0.006100,0.042800,0.185600
NRI01,20000105,2.250000,0.006100,0.042800,0.185600
NRI01,20000106,2.250000,0.006100,0.042800,0.185600
NRI01,20000107,2.250000,0.006100,0.042800,0.185600
NRI01,20000108,2.250000,0.006100,0.042800,0.185600
NRI01,20000109,2.250000,0.006100,0.042800,0.185600
NRI01,20000110,2.250000,0.006100,0.042800,0.185600
NRI01,20000111,2.250000,0.006100,0.042800,0.185600
NRI01,20000112,2.250000,0.006100,0.042800,0.185600
NRI01,20000113,2.250000,0.006100,0.042800,0.185600
NRI01,20000114,2.250000,0.006100,0.042800,0.185600
NRI01,20000115,2.250000,0.006100,0.042800,0.185600
NRI01,20000116,2.250000,0.006100,0.042800,0.185600
NRI01,20000117,2.250000,0.006100,0.042800,0.185600
NRI01,20000118,2.250000,0.006100,0.042800,0.185600
NRI01,20000119,2.250000,0.006100,0.042800,0.185600
NRI01,20000120,2.250000,0.006100,0.042800,0.185600
NRI01,20000121,2.250000,0.006100,0.042800,0.185600
NRI01,20000122,2.250000,0.006100,0.042800,0.185600
NRI01,20000123,2.250000,0.006100,0.042800,0.185600
NRI01,20000124,2.250000,0.006100,0.042800,0.185600
NRI01,20000125,2.250000,0.006100,0.042800,0.185600
NRI01,20000126,2.250000,0.006100,0.042800,0.185600
NRI01,20000127,2.250000,0.006100,0.042800,0.185600
NRI01,20000128,2.250000,0.006100,0.042800,0.185600
NRI01,20000129,2.250000,0.006100,0.042800,0.185600
NRI01,20000130,2.250000,0.006100,0.042800,0.185600
NRI01,20000131,2.250000,0.006100,0.042800,0.185600
NRI01,20000201,2.250000,0.006100,0.042800,0.185600
NRI01,20000202,2.250000,0.006100,0.042800,0.185600
NRI01,20000203,2.250000,0.006100,0.042800,0.185600
NRI01,20000204,2.250000,0.006100,0.042800,0.185600
NRI01,20000205,2.250000,0.006100,0.042800,0.185600
NRI01,20000206,2.250000,0.006100,0.042800,0.185600
NRI01,20000207,2.250000,0.006100,0.042800,0.185600
NRI01,20000208,2.250000,0.006100,0.042800,0.185600
NRI01,20000209,2.250000,0.006100,0.042800,0.185600
NRI01,20000210,2.250000,0.006100,0.042800,0.185600
NRI01,20000211,2.250000,0.006100,0.042800,0.185600
NRI01,20000212,2.250000,0.006100,0.042800,0.185600
NRI01,20000213,2.250000,0.006100,0.042800,0.185600
NRI01,20000214,2.250000,0.006100,0.042800,0.185600
NRI01,20000215,2.250000,0.006100,0.042800,0.185600
NRI01,20000216,2.250000,0.006100,0.042800,0.185600
NRI01,20000217,2.250000,0.006100,0.042800,0.185600
NRI01,20000218,2.250000,0.006100,0.042800,0.185600
NRI01,20000219,2.250000,0.006100,0.042800,0.185600
NRI01,20000220,2.250000,0.006100,0.042800,0.185600
NRI01,20000221,2.250000,0.006100,0.042800,0.185600
NRI01,20000222,2.250000,0.006100,0.042800,0.185600
NRI01,20000223,2.250000,0.006100,0.042800,0.185600
NRI01,20000224,2.250000,0.006100,0.042800,0.185600
NRI01,20000225,2.250000,0.006100,0.042800,0.185600
NRI01,20000226,2.250000,0.006100,0.042800,0.185600
NRI01,20000227,2.250000,0.006100,0.042800,0.185600
NRI01,20000228,2.250000,0.006100,0.042800,0.185600
NRI01,20000229,2.250000,0.006100,0.042800,0.185600
NRI01,20000301,2.250000,0.006100,0.042800,0.185600
NRI01,20000302,2.250000,0.006100,0.042800,0.185600
NRI01,20000303,2.250000,0.006100,0.042800,0.185600
NRI01,20000304,2.250000,0.006100,0.042800,0.185600
NRI01,20000305,2.250000,0.006100,0.042800,0.185600
NRI01,20000306,2.250000,0.006100,0.042800,0.185600
NRI01,20000307,2.250000,0.006100,0.042800,0.185600
NRI01,20000308,2.250000,0.006100,0.042800,0.185600
NRI01,20000309,2.250000,0.006100,0.042800,0.185600
NRI01,20000310,2.250000,0.006100,0.042800,0.185600
NRI01,20000311,2.250000,0.006100,0.042800,0.185600
NRI01,20000312,2.250000,0.006100,0.042800,0.185600
NRI01,20000313,2.250000,0.006100,0.042800,0.185600
NRI01,20000314,2.250000,0.006100,0.042800,0.185600
NRI01,20000315,2.250000,0.006100,0.042800,0.185600
NRI01,20000316,2.250000,0.006100,0.042800,0.185600
NRI01,20000317,2.250000,0.006100,0.042800,0.185600
NRI01,20000318,2.250000,0.006100,0.042800,0.185600
NRI01,20000319,2.250000,0.006100,0.042800,0.185600
NRI01,20000320,2.250000,0.006100,0.042800,0.185600
NRI01,20000321,2.250000,0.006100,0.042800,0.185600
NRI01,20000322,2.250000,0.006100,0.042800,0.185600
NRI01,20000323,2.250000,0.006100,0.042800,0.185600
NRI01,20000324,2.250000,0.006100,0.042800,0.185600
NRI01,20000325,2.250000,0.006100,0.042800,0.185600
NRI01,20000326,2.250000,0.006100,0.042800,0.185600
NRI01,20000327,2.250000,0.006100,0.042800,0.185600
NRI01,20000328,2.250000,0.006100,0.042800,0.185600
NRI01,20000329,2.250000,0.006100,0.042800,0.185600
NRI01,20000330,2.250000,0.006100,0.042800,0.185600
NRI01,20000331,2.250000,0.006100,0.042800,0.185600
NRI01,20000401,2.250000,0.006100,0.042800,0.185600
NRI01,20000402,2.250000,0.006100,0.042800,0.185600
NRI01,20000403,2.250000,0.006100,0.042800,0.185600
NRI01,20000404,2.250000,0.006100,0.042800,0.185600
NRI01,20000405,2.250000,0.006100,0.042800,0.185600
NRI01,20000406,2.250000,0.006100,0.042800,0.185600
NRI01,20000407,2.250000,0.006100,0.042800,0.185600
NRI01,20000408,2.250000,0.006100,0.042800,0.185600
NRI01,20000409,2.250000,0.006100,0.042800,0.185600
NRI01,20000410,2.250000,0.006100,0.042800,0.185600
NRI01,20000411,2.250000,0.006100,0.042800,0.185600
NRI01,20000412,2.250000,0.006100,0.042800,0.185600
NRI01,20000413,2.250000,0.006100,0.042800,0.185600
NRI01,20000414,2.250000,0.006100,0.042800,0.185600
NRI01,20000415,2.250000,0.006100,0.042800,0.185600
NRI01,20000416,2.250000,0.006100,0.042800,0.185600
NRI01,20000417,2.250000,0.006100,0.042800,0.185600
NRI01,20000418,2.250000,0.006100,0.042800,0.185600
NRI01,20000419,2.250000,0.006100,0.042800,0.185600
NRI01,20000420,2.250000,0.006100,0.042800,0.185600
NRI01,20000421,2.250000,0.006100,0.042800,0.185600
NRI01,20000422,2.250000,0.006100,0.042800,0.185600
NRI01,20000423,2.250000,0.006100,0.042800,0.185600
NRI01,20000424,2.250000,0.006100,0.042800,0.185600
NRI01,20000425,2.250000,0.006100,0.042800,0.185600
NRI01,20000426,2.250000,0.006100,0.042800,0.185600
NRI01,20000427,2.250000,0.006100,0.042800,0.185600
NRI01,20000428,2.250000,0.006100,0.042800,0.185600
NRI01,20000429,2.250000,0.006100,0.042800,0.185600
NRI01,20000430,2.250000,0.006100,0.042800,0.185600
NRI01,20000501,2.250000,0.006100,0.042800,0.185600
NRI01,20000502,2.250000,0.006100,0.042800,0.185600
NRI01,20000503,2.250000,0.006100,0.042800,0.185600
NRI01,20000504,2.250000,0.006100,0.042800,0.185600
NRI01,20000505,2.250000,0.006100,0.042800,0.185600
NRI01,20000506,2.250000,0.006100,0.042800,0.185600
NRI01,20000507,2.250000,0.006100,0.042800,0.185600
NRI01,20000508,2.250000,0.006100,0.042800,0.185600
NRI01,20000509,2.250000,0.006100,0.042800,0.185600
NRI01,20000510,2.250000,0.006100,0.042800,0.185600
NRI01,20000511,2.250000,0.006100,0.042800,0.185600
NRI01,20000512,2.250000,0.006100,0.042800,0.185600
