Indexcd,Trddt,Clsindex,Retindex
000001,20000104,1406.370,0.029116
000002,20000104,1494.500,0.029341
000003,20000104,38.150,0.006331
399001,20000104,3497.060,0.037823
399106,20000104,414.686,0.031096
399107,20000104,445.317,0.031208
399108,20000104,86.510,0.021852
000001,20000105,1409.680,0.002354
000002,20000105,1498.050,0.002375
000003,20000105,38.150,0.000000
399001,20000105,3486.285,-0.003081
399106,20000105,415.961,0.003075
399107,20000105,446.881,0.003512
399108,20000105,84.063,-0.028286
000001,20000106,1463.940,0.038491
000002,20000106,1555.950,0.038650
000003,20000106,38.980,0.021756
399001,20000106,3655.199,0.048451
399106,20000106,433.060,0.041107
399107,20000106,465.340,0.041306
399108,20000106,86.217,0.025624
000001,20000107,1516.600,0.035971
000002,20000107,1611.810,0.035901
000003,20000107,40.680,0.043612
399001,20000107,3828.040,0.047286
399106,20000107,449.157,0.037170
399107,20000107,482.540,0.036962
399108,20000107,90.783,0.052959
000001,20000110,1545.110,0.018799
000002,20000110,1642.530,0.019059
000003,20000110,40.300,-0.009341
399001,20000110,3921.484,0.024410
399106,20000110,458.730,0.021313
399107,20000110,492.983,0.021642
399108,20000110,90.487,-0.003261
000001,20000111,1479.780,-0.042282
000002,20000111,1572.840,-0.042428
000003,20000111,39.230,-0.026551
399001,20000111,3716.784,-0.052200
399106,20000111,439.994,-0.040843
399107,20000111,472.840,-0.040859
399108,20000111,86.905,-0.039586
000001,20000112,1438.020,-0.028220
000002,20000112,1528.360,-0.028280
000003,20000112,38.390,-0.021412
399001,20000112,3605.825,-0.029853
399106,20000112,427.941,-0.027394
399107,20000112,459.731,-0.027724
399108,20000112,86.726,-0.002060
000001,20000113,1424.440,-0.009444
000002,20000113,1513.880,-0.009474
000003,20000113,38.150,-0.006252
399001,20000113,3580.982,-0.006890
399106,20000113,425.154,-0.006513
399107,20000113,456.723,-0.006543
399108,20000113,86.349,-0.004347
000001,20000114,1408.850,-0.010945
000002,20000114,1497.270,-0.010972
000003,20000114,37.840,-0.008126
399001,20000114,3542.820,-0.010657
399106,20000114,420.467,-0.011024
399107,20000114,451.726,-0.010941
399108,20000114,84.862,-0.017221
000001,20000117,1433.330,0.017376
000002,20000117,1523.520,0.017532
000003,20000117,37.870,0.000793
399001,20000117,3594.649,0.014629
399106,20000117,427.462,0.016636
399107,20000117,459.294,0.016754
399108,20000117,85.530,0.007872
000001,20000118,1426.620,-0.004681
000002,20000118,1516.340,-0.004713
000003,20000118,37.830,-0.001056
399001,20000118,3571.974,-0.006308
399106,20000118,427.818,0.000833
399107,20000118,459.689,0.000860
399108,20000118,85.426,-0.001216
000001,20000119,1440.720,0.009884
000002,20000119,1531.220,0.009813
000003,20000119,38.500,0.017711
399001,20000119,3603.857,0.008926
399106,20000119,434.058,0.014586
399107,20000119,466.474,0.014760
399108,20000119,85.563,0.001604
000001,20000120,1466.860,0.018144
000002,20000120,1559.170,0.018253
000003,20000120,38.730,0.005974
399001,20000120,3668.842,0.018032
399106,20000120,441.420,0.016961
399107,20000120,474.486,0.017176
399108,20000120,85.618,0.000643
000001,20000121,1465.090,-0.001207
000002,20000121,1557.320,-0.001187
000003,20000121,38.590,-0.003615
399001,20000121,3702.088,0.009062
399106,20000121,443.723,0.005217
399107,20000121,477.006,0.005311
399108,20000121,85.452,-0.001939
000001,20000124,1477.340,0.008361
000002,20000124,1570.640,0.008553
000003,20000124,38.120,-0.012179
399001,20000124,3734.725,0.008816
399106,20000124,451.781,0.018160
399107,20000124,485.804,0.018444
399108,20000124,85.123,-0.003850
000001,20000125,1476.510,-0.000562
000002,20000125,1569.720,-0.000586
000003,20000125,38.160,0.001049
399001,20000125,3726.058,-0.002321
399106,20000125,451.848,0.000148
399107,20000125,485.927,0.000253
399108,20000125,84.442,-0.008000
000001,20000126,1481.120,0.003122
000002,20000126,1574.500,0.003045
000003,20000126,38.620,0.012055
399001,20000126,3737.986,0.003201
399106,20000126,453.584,0.003842
399107,20000126,487.721,0.003692
399108,20000126,85.777,0.015810
000001,20000127,1506.770,0.017318
000002,20000127,1601.580,0.017199
000003,20000127,39.810,0.030813
399001,20000127,3844.965,0.028619
399106,20000127,460.738,0.015772
399107,20000127,495.383,0.015710
399108,20000127,87.556,0.020740
000001,20000128,1535.000,0.018735
000002,20000128,1631.520,0.018694
000003,20000128,40.720,0.022859
399001,20000128,3952.407,0.027944
399106,20000128,469.649,0.019341
399107,20000128,505.024,0.019462
399108,20000128,88.382,0.009434
000001,20000214,1673.940,0.090515
000002,20000214,1779.710,0.090829
000003,20000214,43.050,0.057220
399001,20000214,4322.373,0.093605
399106,20000214,512.245,0.090698
399107,20000214,550.850,0.090740
399108,20000214,96.068,0.086963
000001,20000215,1670.670,-0.001953
000002,20000215,1776.760,-0.001658
000003,20000215,41.520,-0.035540
399001,20000215,4394.694,0.016732
399106,20000215,514.893,0.005169
399107,20000215,554.030,0.005773
399108,20000215,91.750,-0.044947
000001,20000216,1693.110,0.013432
000002,20000216,1801.050,0.013671
000003,20000216,40.930,-0.014210
399001,20000216,4457.414,0.014272
399106,20000216,527.109,0.023725
399107,20000216,567.494,0.024302
399108,20000216,89.304,-0.026659
000001,20000217,1640.650,-0.030984
000002,20000217,1745.370,-0.030915
000003,20000217,39.320,-0.039335
399001,20000217,4313.971,-0.032181
399106,20000217,509.787,-0.032862
399107,20000217,548.742,-0.033044
399108,20000217,87.846,-0.016326
000001,20000218,1668.090,0.016725
000002,20000218,1774.520,0.016701
000003,20000218,40.090,0.019583
399001,20000218,4356.603,0.009882
399106,20000218,518.956,0.017986
399107,20000218,558.605,0.017974
399108,20000218,89.524,0.019102
000001,20000221,1677.140,0.005425
000002,20000221,1784.460,0.005602
000003,20000221,39.450,-0.015964
399001,20000221,4344.488,-0.002781
399106,20000221,521.711,0.005309
399107,20000221,561.678,0.005501
399108,20000221,88.520,-0.011215
000001,20000222,1632.290,-0.026742
000002,20000222,1736.800,-0.026708
000003,20000222,38.250,-0.030418
399001,20000222,4186.695,-0.036320
399106,20000222,504.617,-0.032765
399107,20000222,543.340,-0.032649
399108,20000222,84.691,-0.043256
000001,20000223,1594.930,-0.022888
000002,20000223,1696.930,-0.022956
000003,20000223,37.670,-0.015163
399001,20000223,4072.469,-0.027283
399106,20000223,490.946,-0.027092
399107,20000223,528.579,-0.027167
399108,20000223,82.968,-0.020345
000001,20000224,1634.310,0.024691
000002,20000224,1739.000,0.024792
000003,20000224,38.130,0.012211
399001,20000224,4221.842,0.036679
399106,20000224,504.816,0.028252
399107,20000224,543.555,0.028333
399108,20000224,84.725,0.021177
000001,20000225,1631.580,-0.001670
000002,20000225,1736.250,-0.001581
000003,20000225,37.660,-0.012326
399001,20000225,4262.819,0.009706
399106,20000225,503.971,-0.001674
399107,20000225,542.652,-0.001661
399108,20000225,84.480,-0.002892
000001,20000228,1704.860,0.044914
000002,20000228,1814.780,0.045230
000003,20000228,37.830,0.004514
399001,20000228,4481.739,0.051356
399106,20000228,526.176,0.044060
399107,20000228,566.727,0.044365
399108,20000228,85.884,0.016619
000001,20000229,1714.580,0.005701
000002,20000229,1825.070,0.005670
000003,20000229,38.220,0.010309
399001,20000229,4484.164,0.000541
399106,20000229,524.637,-0.002925
399107,20000229,565.031,-0.002993
399108,20000229,86.152,0.003120
000001,20000301,1697.740,-0.009822
000002,20000301,1807.050,-0.009874
000003,20000301,38.110,-0.002878
399001,20000301,4427.201,-0.012703
399106,20000301,523.832,-0.001534
399107,20000301,564.111,-0.001628
399108,20000301,86.767,0.007139
000001,20000302,1713.010,0.008994
000002,20000302,1823.530,0.009120
000003,20000302,37.850,-0.006822
399001,20000302,4443.524,0.003687
399106,20000302,526.182,0.004486
399107,20000302,566.680,0.004554
399108,20000302,86.620,-0.001694
000001,20000303,1738.020,0.014600
000002,20000303,1850.530,0.014806
000003,20000303,37.350,-0.013210
399001,20000303,4488.269,0.010070
399106,20000303,532.139,0.011321
399107,20000303,573.175,0.011461
399108,20000303,86.474,-0.001686
000001,20000306,1681.090,-0.032756
000002,20000306,1789.810,-0.032812
000003,20000306,36.410,-0.025167
399001,20000306,4316.112,-0.038357
399106,20000306,511.433,-0.038911
399107,20000306,550.828,-0.038988
399108,20000306,83.736,-0.031663
000001,20000307,1694.800,0.008155
000002,20000307,1804.480,0.008196
000003,20000307,36.520,0.003021
399001,20000307,4399.951,0.019425
399106,20000307,517.989,0.012819
399107,20000307,557.956,0.012941
399108,20000307,83.879,0.001708
000001,20000308,1726.030,0.018427
000002,20000308,1837.820,0.018476
000003,20000308,36.950,0.011774
399001,20000308,4498.219,0.022334
399106,20000308,526.789,0.016989
399107,20000308,567.495,0.017096
399108,20000308,84.434,0.006617
000001,20000309,1732.350,0.003662
000002,20000309,1844.610,0.003695
000003,20000309,36.900,-0.001353
399001,20000309,4548.685,0.011219
399106,20000309,526.573,-0.000410
399107,20000309,567.301,-0.000342
399108,20000309,83.882,-0.006538
000001,20000310,1705.050,-0.015759
000002,20000310,1815.350,-0.015862
000003,20000310,36.850,-0.001355
399001,20000310,4463.656,-0.018693
399106,20000310,519.340,-0.013736
399107,20000310,559.460,-0.013822
399108,20000310,83.407,-0.005663
000001,20000313,1728.880,0.013976
000002,20000313,1840.810,0.014025
000003,20000313,37.110,0.007056
399001,20000313,4495.922,0.007229
399106,20000313,528.337,0.017324
399107,20000313,569.324,0.017631
399108,20000313,82.375,-0.012373
000001,20000314,1685.350,-0.025178
000002,20000314,1794.270,-0.025282
000003,20000314,36.700,-0.011048
399001,20000314,4371.559,-0.027661
399106,20000314,517.184,-0.021110
399107,20000314,557.333,-0.021062
399108,20000314,80.247,-0.025833
000001,20000315,1681.470,-0.002302
000002,20000315,1790.150,-0.002296
000003,20000315,36.610,-0.002452
399001,20000315,4333.892,-0.008616
399106,20000315,520.030,0.005503
399107,20000315,560.470,0.005629
399108,20000315,79.696,-0.006866
000001,20000316,1607.530,-0.043973
000002,20000316,1711.170,-0.044119
000003,20000316,35.690,-0.025130
399001,20000316,4131.543,-0.046690
399106,20000316,495.320,-0.047516
399107,20000316,533.838,-0.047517
399108,20000316,75.917,-0.047418
000001,20000317,1658.600,0.031769
000002,20000317,1765.290,0.031627
000003,20000317,37.510,0.050995
399001,20000317,4315.000,0.044404
399106,20000317,512.377,0.034436
399107,20000317,552.067,0.034147
399108,20000317,80.748,0.063635
000001,20000320,1699.250,0.024509
000002,20000320,1809.040,0.024783
000003,20000320,37.100,-0.010930
399001,20000320,4367.730,0.012220
399106,20000320,527.351,0.029225
399107,20000320,568.347,0.029489
399108,20000320,81.014,0.003294
000001,20000321,1710.320,0.006515
000002,20000321,1820.970,0.006595
000003,20000321,36.950,-0.004043
399001,20000321,4387.270,0.004474
399106,20000321,531.532,0.007928
399107,20000321,572.931,0.008065
399108,20000321,80.550,-0.005727
000001,20000322,1720.450,0.005923
000002,20000322,1831.740,0.005914
000003,20000322,37.200,0.006766
399001,20000322,4439.087,0.011811
399106,20000322,536.129,0.008649
399107,20000322,577.936,0.008736
399108,20000322,80.526,-0.000298
000001,20000323,1747.240,0.015572
000002,20000323,1859.440,0.015122
000003,20000323,40.040,0.076344
399001,20000323,4492.432,0.012017
399106,20000323,545.108,0.016748
399107,20000323,587.166,0.015971
399108,20000323,88.330,0.096913
000001,20000324,1730.500,-0.009581
000002,20000324,1841.610,-0.009589
000003,20000324,39.680,-0.008991
399001,20000324,4461.659,-0.006850
399106,20000324,540.713,-0.008063
399107,20000324,582.233,-0.008401
399108,20000324,90.461,0.024125
000001,20000327,1775.910,0.026241
000002,20000327,1889.530,0.026021
000003,20000327,41.830,0.054183
399001,20000327,4571.664,0.024656
399106,20000327,557.255,0.030593
399107,20000327,599.777,0.030132
399108,20000327,97.092,0.073302
000001,20000328,1791.440,0.008745
000002,20000328,1906.180,0.008812
000003,20000328,41.860,0.000717
399001,20000328,4591.120,0.004256
399106,20000328,561.237,0.007146
399107,20000328,604.243,0.007446
399108,20000328,95.193,-0.019559
000001,20000329,1788.810,-0.001468
000002,20000329,1903.560,-0.001374
000003,20000329,41.290,-0.013617
399001,20000329,4559.863,-0.006808
399106,20000329,558.379,-0.005092
399107,20000329,601.441,-0.004637
399108,20000329,90.749,-0.046684
000001,20000330,1810.980,0.012394
000002,20000330,1927.190,0.012414
000003,20000330,41.730,0.010656
399001,20000330,4580.821,0.004596
399106,20000330,565.133,0.012096
399107,20000330,608.619,0.011935
399108,20000330,93.221,0.027240
000001,20000331,1800.230,-0.005936
000002,20000331,1915.600,-0.006014
000003,20000331,41.850,0.002876
399001,20000331,4532.313,-0.010589
399106,20000331,560.985,-0.007340
399107,20000331,604.052,-0.007504
399108,20000331,93.969,0.008024
000001,20000403,1801.000,0.000428
000002,20000403,1916.210,0.000318
000003,20000403,42.480,0.015054
399001,20000403,4508.084,-0.005346
399106,20000403,557.907,-0.005487
399107,20000403,600.748,-0.005470
