,公司代码_CompanyCode,证券代码_R_SecuCode,指数代码_IdxCd,指数全称_IdxFNm,证券市场_SecuMkt,上市日期_LsDt,上市状态_LstState,指数类别_IdxCtgy,行业类别_IndType,指数简介_IdxIntr
0,4,83_000002,000002,上海证券交易所A股指数,83,1992-02-21,1,10,,"上证A股指数的样本股是全部上海证券交易所上市A股，反映了上市A股的股价整体变动状况。
上证A股指数的样本股是全部上海证券交易所上市A股，反映了上市A股的股价整体变动状况。
该指数已纳入截至2018年9月30日的IOSCO金融基准原则鉴证报告范围。


中证指数有限公司决定自2020年7月22日起修订编制方案
           上证A股指数编制方案
上证A股指数由上海证券交易所上市的符合条件的A股组成样本股，反映上海市场A股的股价整体表现。
一、指数名称和代码
指数名称：上证A股指数
指数简称：Ａ股指数
英文名称：SSEAShareIndex
英文简称：AShareIndex
指数代码：000002
二、指数基日和基点
该指数以1990年12月19日为基日，以100点为基点
三、样本选取方法
1、样本空间上证A股指数的样本空间由在上海证券交易所上市的A股组成。ST、*ST股票除外。
2、选样方法
上证A股指数选取所有样本空间内股票作为指数样本股。
四、指数计算上证A股指数计算公式为：
报告期指数=报告期样本的总市值除数×100其中，总市值＝∑(股票价格×发行股本数)。除数修正方法参见计算与维护细则。
五、指数样本调整
上市以来日均总市值排名在沪市前10位的A股于上市满三个月后计入指数，其他A股于上市满一年后计"
1,52444,83_000009,000009,上证380指数,83,2010-11-29,1,47,,"                 关于发布上证380指数的公告  
 
     为进一步丰富指数体系，为投资者提供新的分析工具和投资标的，上海证券交易所和中证指数有限公司将于 2010 年 11 月 29 日 对外发布上证 380 指数。指数基日为 2003 年 12 月 31 日 ，基点为 1000 点，具体编制方案见上海证券交易所网站 ( www.sse.com.cn ) 和中证指数有限公司网站 ( www.csindex.com.cn ) 。 

附1：上证 380 指数编制方案
一、指数名称及代码
    指数代码： 000009 
    指数名称：上证 380 指数 
    指数简称：上证 380 
    指数英文名称： SSE 380 Index 
    英文简称： SSE 380 
二、指数基日和基点
    上证 380 指数以 2003 年 12 月 31 日 为基日 ， 基点为 1000 点。
三、样本选取方法
1、样本空间
    上证 380 指数的样本空间由上证 180 指数样本空间剔除下列股票后的所有沪市 A 股组成：
    ?  上证 180 指数样本股；
    ?  最新一期财务报告中未分配利润为负的公司股票；
    ?  成立 5 年以上且最近五年未派发现金红利或送股的公司股票。
2、选样方法
    步骤 1 计算样本空间内股票营业收入增长率、净资产收益率、成交金额和总市值的综合排名。
    步骤 2 按照上证二级行业的自由流"
2,26,83_000010,000010,上海证券交易所180成份指数,83,2002-07-01,1,47,,"   上证成份指数(简称上证180指数)是对原上证30指数进行调整和更名后产生的指数。上证成份指数的编制方案,是结合中国证券市场的发展现状,借鉴国际经验,在原上证30指数编制方案的基础上作进一步完善后形成的,目的在于通过科学客观的方法挑选出最具代表性的样本股票,建立一个反映上海证券市场的概貌和运行状况、能够作为投资评价尺度及金融衍生产品基础的基准指数。
成份股的选择
    (一)样本空间:剔除下列股票后的所有上海A股股票。
    1、上市时间不足一个季度的股票；
    2、暂停上市股票；
    3、经营状况异常或最近财务报告严重亏损的股票；
    4、股价波动较大、市场表现明显受到操纵的股票；
    5、其他经专家委员会认定的应该剔除的股票,
    (二)样本数量:180只股票。
    (三)选样标准:行业内的代表性；规模；流动性。
    (四)选样方法:
    1、根据总市值、流通市值、成交金额和换手率对股票进行综合排名；
    2、按照各行业的流通市值比例分配样本只数；
    3、按照行业的样本分配只数,在行业内选取排名靠前的股票；
    4、对各行业选取的样本作进一步调整,使成份股总数为180家。
样本股的调整
    上证成份指数依据样本稳定性和动态跟踪相结合的原则,每半年调整"
3,51815,83_000062,000062,上证沪企指数,83,2010-01-04,1,44,,"             关于发布上证企债30和上证海外上市A股等指数的公告

    为进一步丰富上证指数体系，推进产品创新，上海证券交易所和中证指数有限公司将于2010年1月第一个交易日正式发布上证企债30指数、上证海外上市A股指数、上证地方国有企业50指数、上证国有企业100指数、上证全指成长指数、上证全指价值指数、上证全指相对成长指数、上证全指相对价值指数和上证沪企指数等九条指数，指数编制方案详见上海证券交易所网站（www.sse.cm.cn）和中证指数有限公司网站（www.csindex.cm.cn）。
    上海证券交易所
    中证指数有限公司
    2009年12月17日
    附件五：
    上证沪企指数编制方案
    一、指数名称和代码
    指数代码：000062
    指数名称：上证沪企指数
    指数简称：上证沪企
    指数英文名称：SSE Shanghai enterprises Index
    二、基日和基点
    上证沪企指数以2005年12月31日为基日，基点为1000点。
    三、样本空间
    上海沪企指数的样本空间由同时满足以下条件的A股股票组成：
    在上海证券交易所上市，注册地在上海的上市公司；
    上市时间超过3个月，除非该股票自上市以来的日均总市值排在沪市前18位；
    非ST，*ST股票，非暂停上市股票；
"
4,51848,83_000063,000063,上证周期行业50指数,83,2010-02-03,1,44,,"一、指数名称与代码
1、指数名称：上证周期行业 50 指数 
2、指数简称：上证周期
3、英文名称： SSE Cyclical Industry 50 index 
4、英文简称： SSE Cyclical
5、指数代码：上证周期： 000063 
二、指数基期与基点
    上证周期行业 50 指数以 2003 年 12 月 31 日 为基日，以该日所有股票样本的调整市值为基期，基点均为 1000 点。 
三、样本选取办法
1、周期行业和非周期行业的划分
    根据证监会行业门类和辅助类划分标准，将沪市 A 股划分为 22 个行业，再根据其行业周期特性，将归属金融保险、采掘业、交通运输仓储业、金属非金属、房地产等行业的股票归为周期性行业股票，其余行业股票归为非周期性行业股票。 
2、样本空间
上证周期行业 50 指数样本空间：上证全指指数中归属于周期性行业的样本股构成样本空间。
上证非周期行业 100 指数样本空间：上证全指指数中归属于非周期性行业的样本股构成样本空间。
3、选样方法：
    分别计算各自样本空间内股票最近一年的 A 股日均成交金额与日均总市值，并在各自样本空间内对两个指标由高到低排名，然后将各指标的排名结果相加，所得和的排名作为股票的综合排名；
    在上证周期行业 50 指数样本空间内选取综合排名在前 50 名的股"
5,51849,83_000064,000064,上证非周期行业100指数,83,2010-02-03,1,44,,"一、指数名称与代码
1、指数名称：上证非周期行业 100 指数 
2、指数简称：上证非周期 
3、英文名称：SSE non- Cyclical Industry 100 index 
4、英文简称： SSE non- Cyclical 
5、指数代码：上证非周期： 000064 
二、指数基期与基点
    上证非周期行业 100 指数以 2003 年 12 月 31 日 为基日，以该日所有股票样本的调整市值为基期，基点均为 1000 点。 
三、样本选取办法
1、周期行业和非周期行业的划分
    根据证监会行业门类和辅助类划分标准，将沪市 A 股划分为 22 个行业，再根据其行业周期特性，将归属金融保险、采掘业、交通运输仓储业、金属非金属、房地产等行业的股票归为周期性行业股票，其余行业股票归为非周期性行业股票。 
2、样本空间
上证非周期行业 100 指数样本空间：上证全指指数中归属于非周期性行业的样本股构成样本空间。
3、选样方法：
    分别计算各自样本空间内股票最近一年的 A 股日均成交金额与日均总市值，并在各自样本空间内对两个指标由高到低排名，然后将各指标的排名结果相加，所得和的排名作为股票的综合排名；
    在上证周期行业 50 指数样本空间内选取综合排名在前 50 名的股票作为上证周期行业 50 指数的样本股。
    在上证非周期行业 100"
6,52011,83_000065,000065,上证龙头企业指数,83,2010-02-09,1,44,,"                        上证龙头企业指数编制方案

    一、 指数名称及代码
    上证龙头企业指数简称上证龙头，英文名称SSE Industry Top index，英文简称SSE Industry Top，指数代码000065。
    二、 指数的基期和基点
    上证龙头企业指数以2003年12月31日为基日，基点为1000点。
    三、 样本选取方法
    1、样本空间：以上证全指全部样本股作为样本空间。
    2、行业分类：将样本空间内股票划分为能源、原材料、资本品、运输、汽车与零部件等25个二级行业。
    3、选样方法：将样本空间股票按照过去一年日均总市值、日均成交金额、上年报营业收入、上年报营业利润在二级行业内由高到低分别排名，然后将各指标的排名结果相加，所得和的排名作为股票的综合排名。选择各行业排名前3的股票进入上证龙头企业指数。
    四、 指数计算
    上证龙头企业指数采用派许加权综合价格指数公式进行计算，公式如下：
    报告期指数= Σ(股价×调整股本数×权重调整因子)／除数×1000
    其中，调整股本数的计算方法同上证180指数；权重调整因子=（营业收入/Σ营业收入+营业利润/Σ营业收入）/2/市值*10000000。
    五、 指数修正：同上证180指数。
    六、 样本股调整
    当上证"
7,52978,83_000114,000114,上证可持续发展产业主题指数,83,2011-08-22,1,44,,"    关于发布上证可持续发展产业主题指数和中证大宗商品股票指数的公告 
  
 
 
    为进一步丰富指数体系，为投资者提供新的分析工具和投资标的，上海证券交易所和中证指数有限公司将于 2011 年 8 月 22 日 正式发布上证可持续发展产业主题指数和中证大宗商品股票指数。

     
上证可持续发展产业主题指数编制方案

一、指数名称与代码
1、指数名称：上证可持续发展产业主题指数
2、指数简称： 持续产业
3、英文名称： SSE Sustainable development industry Index
4、英文简称： Sustainable industry
5、指数代码： 000114

二、指数基期与基点
    上证可持续发展产业主题指数以 2011 年 6 月 30 日 为基日，以该日所有股票样本的调整市值为基期，基点均为 1000 点。

三、样本选取方法
1、样本空间
    以沪市全部 A 股 （非 ST 、 *ST 股） 作为样本空间。
2、选样方法
    首先，将样本空间中过去一年日均成交金额排名在沪深两市 A 股（非 ST 、 *ST 股）后 20% 的股票剔除。
    其次，剩余股票中根据所属行业、主营业务或者其生产模式分别选出以下三个主题的股票纳入相应的产业主题中：
1)  教育服务与出版主题：其上证行业分类属于教育服务或出版的公司。
2)  低"
8,53268,83_000121,000121,上证医药主题指数,83,2011-10-18,1,44,,"关于发布上证380风格指数系列、上证医药主题指数以及上证农业主题指数的公告

为进一步丰富指数体系，为投资者提供新的分析工具和投资标的，上海证券交易所和中证指数有限公司将于2011年10月18日正式发布上证380风格指数系列、上证医药主题指数以及上证农业主题指数。

上海证券交易所
中证指数有限公司
2011年9月19日

上证医药主题指数编制方案
一、指数名称与代码
1、	指数名称：上证医药主题指数
2、	指数简称：医药主题
3、	英文名称：SSE Health Care theme Index
4、	英文简称：Health Care theme 
5、	指数代码：000121
二、指数基期与基点
    上证医药主题指数以2004年12月31日为基日，以该日所有股票样本的调整市值为基期，基点均为1000点。
三、样本选取方法
1、样本空间
以沪市全部A股（非ST、*ST股）作为样本空间。
2、选样方法
	将样本空间中股票按照上证行业分类方法将归属于医药卫生和药品零售行业的公司股票纳入医药主题。
将样本空间中医药主题股票按照过去一年A股日均总市值与日均成交金额由高到低排名，将两指标的排名结果相加，所得和的排名作为股票的综合排名。选取综合排名前50的股票作为上证医药主题指数样本股。
四、指数计算
采用派许加权综合价格"
9,53269,83_000122,000122,上证农业主题指数,83,2011-10-18,1,44,,"关于发布上证380风格指数系列、上证医药主题指数以及上证农业主题指数的公告

为进一步丰富指数体系，为投资者提供新的分析工具和投资标的，上海证券交易所和中证指数有限公司将于2011年10月18日正式发布上证380风格指数系列、上证医药主题指数以及上证农业主题指数。

上海证券交易所
中证指数有限公司
2011年9月19日

上证农业主题指数编制方案
一、指数名称与代码
6、	指数名称：上证农业主题指数
7、	指数简称：农业主题
8、	英文名称：SSE agriculture theme  index
9、	英文简称：agriculture theme 
10、	指数代码：000122
二、指数基期与基点
上证农业主题指数以2011年6月30日为基日，基点为1000点。
三、	样本选取方法
1、样本空间：以沪市全部A股（非ST、*ST股）作为样本空间。
2、选样方法
将样本空间中归属于农产品、包装食品与肉类、化肥与农用药剂、林业产业等行业以及农用机械、兽药以及动物疫苗等与农业相关公司股票纳入农业主题中。
将样本空间中农业主题股票按照过去一年A股日均总市值与日均成交金额由高到低排名，将两指标的排名结果相加，所得和的排名作为股票的综合排名。选取综合排名前40的股票作为上证农业主题指数样本股。
四、	指数计算
 上证农业主"
